Date;number_of_deaths;cumulative_number_of_deaths;newly_infected;hospitalization
2020-02-26;0;0;1;0
2020-02-27;0;0;1;0
2020-02-28;0;0;1;0
2020-03-01;0;0;1;1
2020-03-02;0;0;4;0
2020-03-03;0;0;4;1
2020-03-04;0;0;3;0
2020-03-05;0;0;10;1
2020-03-06;0;0;2;4
2020-03-07;0;0;9;0
2020-03-08;0;0;48;3
2020-03-09;0;0;210;9
2020-03-10;0;0;255;15
2020-03-11;1;1;206;10
2020-03-12;0;1;41;18
2020-03-13;0;1;33;26
2020-03-14;1;2;37;24
2020-03-15;2;4;45;33
2020-03-16;1;5;74;45
2020-03-17;1;6;76;47
2020-03-18;4;10;83;47
2020-03-19;5;15;106;50
2020-03-20;4;19;102;64
2020-03-21;3;22;48;34
2020-03-22;3;25;62;42
2020-03-23;6;31;131;85
2020-03-24;6;37;138;81
2020-03-25;6;43;151;90
2020-03-26;12;55;170;79
2020-03-27;12;67;215;87
2020-03-28;9;76;200;83
2020-03-29;8;84;127;52
2020-03-30;11;95;309;69
2020-03-31;15;110;254;51
2020-04-01;22;132;279;61
2020-04-02;18;150;380;72
2020-04-03;20;170;471;72
2020-04-04;15;185;293;44
2020-04-05;12;197;157;36
2020-04-06;17;214;423;51
2020-04-07;12;226;345;56
2020-04-08;15;241;294;28
2020-04-09;13;254;136;34
2020-04-10;16;270;140;34
2020-04-11;11;281;139;31
2020-04-12;11;292;156;27
2020-04-13;16;308;156;30
2020-04-14;12;320;258;45
2020-04-15;10;330;198;30
2020-04-16;12;342;178;33
2020-04-17;9;351;168;27
2020-04-18;10;361;104;27
2020-04-19;6;367;111;34
2020-04-20;7;374;213;33
2020-04-21;12;386;200;38
2020-04-22;14;400;226;29
2020-04-23;10;410;231;33
2020-04-24;6;416;164;22
2020-04-25;5;421;134;27
2020-04-26;5;426;119;26
2020-04-27;9;435;217;21
2020-04-28;10;445;136;15
2020-04-29;9;454;139;15
2020-04-30;9;463;146;17
2020-05-01;11;474;148;16
2020-05-02;8;482;115;24
2020-05-03;9;491;78;16
2020-05-04;7;498;120;15
2020-05-05;3;501;122;16
2020-05-06;6;507;105;6
2020-05-07;6;513;122;15
2020-05-08;4;517;69;9
2020-05-09;3;520;64;10
2020-05-10;5;525;57;10
2020-05-11;4;529;78;8
2020-05-12;7;536;56;8
2020-05-13;5;541;65;6
2020-05-14;0;541;61;13
2020-05-15;6;547;89;17
2020-05-16;3;550;34;5
2020-05-17;3;553;50;4
2020-05-18;3;556;80;14
2020-05-19;2;558;60;7
2020-05-20;5;563;69;7
2020-05-21;0;563;31;6
2020-05-22;1;564;71;13
2020-05-23;1;565;35;9
2020-05-24;1;566;34;2
2020-05-25;0;566;52;6
2020-05-26;3;569;62;11
2020-05-27;1;570;52;7
2020-05-28;0;570;37;5
2020-05-29;1;571;42;9
2020-05-30;4;575;33;7
2020-05-31;2;577;22;4
2020-06-01;3;580;35;5
2020-06-02;1;581;55;6
2020-06-03;1;582;52;3
2020-06-04;4;586;41;5
2020-06-05;2;588;34;9
2020-06-06;3;591;15;2
2020-06-07;2;593;14;4
2020-06-08;0;593;43;5
2020-06-09;0;593;28;1
2020-06-10;0;593;38;1
2020-06-11;1;594;48;1
2020-06-12;3;597;60;6
2020-06-13;0;597;27;4
2020-06-14;1;598;20;1
2020-06-15;0;598;39;2
2020-06-16;1;599;45;7
2020-06-17;1;600;74;5
2020-06-18;1;601;45;2
2020-06-19;1;602;42;4
2020-06-20;1;603;38;4
2020-06-21;0;603;31;4
2020-06-22;0;603;45;5
2020-06-23;1;604;19;4
2020-06-24;0;604;45;6
2020-06-25;1;605;30;5
2020-06-26;0;605;20;1
2020-06-27;0;605;18;4
2020-06-28;1;606;11;6
2020-06-29;0;606;27;3
2020-06-30;0;606;23;0
2020-07-01;0;606;10;2
2020-07-02;0;606;15;4
2020-07-03;0;606;17;1
2020-07-04;1;607;13;0
2020-07-05;0;607;11;2
2020-07-06;2;609;9;2
2020-07-07;0;609;13;2
2020-07-08;0;609;26;1
2020-07-09;0;609;41;3
2020-07-10;1;610;33;3
2020-07-11;0;610;24;5
2020-07-12;0;610;22;0
2020-07-13;0;610;32;0
2020-07-14;0;610;33;3
2020-07-15;0;610;42;3
2020-07-16;0;610;52;1
2020-07-17;1;611;32;3
2020-07-18;0;611;43;2
2020-07-19;0;611;28;2
2020-07-20;0;611;32;3
2020-07-21;0;611;36;2
2020-07-22;2;613;34;4
2020-07-23;0;613;51;1
2020-07-24;0;613;36;2
2020-07-25;0;613;27;5
2020-07-26;0;613;23;2
2020-07-27;0;613;63;3
2020-07-28;1;614;77;2
2020-07-29;1;615;59;6
2020-07-30;0;615;84;5
2020-07-31;1;616;58;3
2020-08-01;0;616;64;4
2020-08-02;0;616;78;2
2020-08-03;0;616;117;7
2020-08-04;0;616;121;5
2020-08-05;1;617;116;7
2020-08-06;0;617;171;3
2020-08-07;0;617;141;5
2020-08-08;1;618;89;3
2020-08-09;2;620;129;2
2020-08-10;1;621;152;4
2020-08-11;0;621;136;3
2020-08-12;0;621;160;3
2020-08-13;0;621;116;4
2020-08-14;0;621;110;6
2020-08-15;0;621;126;2
2020-08-16;0;621;90;5
2020-08-17;0;621;96;8
2020-08-18;0;621;112;1
2020-08-19;0;621;86;6
2020-08-20;0;621;81;7
2020-08-21;1;622;83;5
2020-08-22;1;623;88;3
2020-08-23;0;623;73;4
2020-08-24;0;623;72;3
2020-08-25;1;624;81;3
2020-08-26;0;624;79;8
2020-08-27;0;624;69;1
2020-08-28;0;624;107;4
2020-08-29;0;624;82;1
2020-08-30;0;624;103;3
2020-08-31;2;626;118;6
2020-09-01;0;626;198;1
2020-09-02;0;626;155;5
2020-09-03;1;627;192;4
2020-09-04;0;627;199;8
2020-09-05;0;627;197;12
2020-09-06;1;628;222;9
2020-09-07;0;628;295;7
2020-09-08;0;628;327;6
2020-09-09;1;629;293;13
2020-09-10;0;629;367;14
2020-09-11;1;630;346;11
2020-09-12;1;631;301;17
2020-09-13;2;633;296;10
2020-09-14;0;633;380;13
2020-09-15;1;634;435;14
2020-09-16;1;635;549;21
2020-09-17;0;635;516;13
2020-09-18;0;635;475;14
2020-09-19;3;638;416;24
2020-09-20;3;641;408;19
2020-09-21;1;642;535;21
2020-09-22;2;644;587;14
2020-09-23;1;645;651;24
2020-09-24;2;647;598;26
2020-09-25;1;648;488;18
2020-09-26;1;649;393;12
2020-09-27;0;649;357;19
2020-09-28;1;650;481;21
2020-09-29;1;651;449;14
2020-09-30;0;651;434;20
2020-10-01;2;653;427;23
2020-10-02;2;655;366;19
2020-10-03;3;658;338;11
2020-10-04;3;661;306;21
2020-10-05;2;663;427;30
2020-10-06;0;663;426;10
2020-10-07;1;664;452;16
2020-10-08;3;667;422;9
2020-10-09;1;668;411;15
2020-10-10;3;671;281;15
2020-10-11;2;673;256;14
2020-10-12;3;676;457;24
2020-10-13;1;677;425;19
2020-10-14;1;678;469;22
2020-10-15;0;678;449;21
2020-10-16;2;680;464;21
2020-10-17;5;685;431;15
2020-10-18;3;688;451;24
2020-10-19;1;689;687;25
2020-10-20;3;692;780;19
2020-10-21;4;696;847;25
2020-10-22;4;700;866;18
2020-10-23;5;705;860;27
2020-10-24;3;708;819;22
2020-10-25;3;711;916;27
2020-10-26;3;714;1005;32
2020-10-27;2;716;1241;35
2020-10-28;3;719;1203;30
2020-10-29;2;721;1012;37
2020-10-30;1;722;1081;33
2020-10-31;2;724;976;40
2020-11-01;1;725;954;38
2020-11-02;4;729;1271;40
2020-11-03;3;732;1256;41
2020-11-04;5;737;1241;52
2020-11-05;3;740;1028;48
2020-11-06;4;744;959;32
2020-11-07;1;745;844;29
2020-11-08;4;749;737;39
2020-11-09;4;753;1043;56
2020-11-10;2;755;1053;37
2020-11-11;1;756;1088;49
2020-11-12;1;757;1052;34
2020-11-13;1;758;1148;39
2020-11-14;5;763;1043;34
2020-11-15;3;766;989;32
2020-11-16;4;770;1251;50
2020-11-17;3;773;1328;63
2020-11-18;5;778;1330;46
2020-11-19;3;781;1221;42
2020-11-20;4;785;1222;42
2020-11-21;5;790;1001;32
2020-11-22;6;796;1009;40
2020-11-23;3;799;1187;48
2020-11-24;6;805;1326;39
2020-11-25;8;813;1313;47
2020-11-26;4;817;1255;48
2020-11-27;8;825;1308;30
2020-11-28;6;831;1151;31
2020-11-29;11;842;1173;34
2020-11-30;7;849;1531;45
2020-12-01;10;859;1712;50
2020-12-02;6;865;1876;54
2020-12-03;11;876;1906;54
2020-12-04;7;883;2017;56
2020-12-05;10;893;1715;66
2020-12-06;9;902;1976;69
2020-12-07;6;908;2750;90
2020-12-08;7;915;3123;62
2020-12-09;10;925;3189;76
2020-12-10;7;932;3281;100
2020-12-11;7;939;3293;95
2020-12-12;8;947;3088;85
2020-12-13;11;958;3166;103
2020-12-14;11;969;3985;126
2020-12-15;16;985;4290;146
2020-12-16;14;999;4386;141
2020-12-17;15;1014;3611;147
2020-12-18;11;1025;3130;149
2020-12-19;20;1045;2754;153
2020-12-20;19;1064;2453;128
2020-12-21;19;1083;3099;184
2020-12-22;21;1104;2867;147
2020-12-23;19;1123;3075;152
2020-12-24;22;1145;1472;122
2020-12-25;21;1166;1586;168
2020-12-26;26;1192;2684;144
2020-12-27;29;1221;2184;138
2020-12-28;25;1246;3062;210
2020-12-29;32;1278;2475;144
2020-12-30;28;1306;2768;127
2020-12-31;33;1339;1227;121
2021-01-01;21;1360;1202;150
2021-01-02;33;1393;2040;139
2021-01-03;28;1421;1669;116
2021-01-04;27;1448;2476;158
2021-01-05;21;1469;1923;105
2021-01-06;36;1505;1655;129
2021-01-07;29;1534;1584;139
2021-01-08;26;1560;1425;117
2021-01-09;23;1583;1191;113
2021-01-10;36;1619;990;107
2021-01-11;25;1644;1347;123
2021-01-12;38;1682;1254;97
2021-01-13;30;1712;1111;106
2021-01-14;29;1741;1001;88
2021-01-15;26;1767;850;99
2021-01-16;31;1798;717;79
2021-01-17;29;1827;674;80
2021-01-18;29;1856;924;124
2021-01-19;39;1895;912;105
2021-01-20;29;1924;773;66
2021-01-21;27;1951;852;89
2021-01-22;24;1975;710;81
2021-01-23;26;2001;588;59
2021-01-24;20;2021;512;60
2021-01-25;25;2046;719;73
2021-01-26;20;2066;677;50
2021-01-27;17;2083;530;58
2021-01-28;19;2102;498;51
2021-01-29;19;2121;402;48
2021-01-30;19;2140;357;29
2021-01-31;16;2156;380;41
2021-02-01;13;2169;500;47
2021-02-02;10;2179;482;36
2021-02-03;17;2196;424;32
2021-02-04;14;2210;438;32
2021-02-05;11;2221;404;39
2021-02-06;7;2228;427;21
2021-02-07;8;2236;387;30
2021-02-08;13;2249;437;35
2021-02-09;16;2265;457;40
2021-02-10;12;2277;445;36
2021-02-11;9;2286;368;23
2021-02-12;7;2293;315;22
2021-02-13;9;2302;331;33
2021-02-14;5;2307;338;21
2021-02-15;7;2314;398;25
2021-02-16;3;2317;518;19
2021-02-17;6;2323;505;22
2021-02-18;9;2332;541;31
2021-02-19;4;2336;457;31
2021-02-20;5;2341;430;24
2021-02-21;5;2346;472;20
2021-02-22;0;2346;583;28
2021-02-23;2;2348;600;24
2021-02-24;7;2355;535;32
2021-02-25;1;2356;537;34
2021-02-26;4;2360;492;26
2021-02-27;4;2364;422;27
2021-02-28;3;2367;471;22
2021-03-01;1;2368;591;25
2021-03-02;4;2372;594;37
2021-03-03;3;2375;540;28
2021-03-04;2;2377;481;29
2021-03-05;0;2377;464;23
2021-03-06;2;2379;447;40
2021-03-07;2;2381;452;22
2021-03-08;0;2381;595;23
2021-03-09;2;2383;638;33
2021-03-10;3;2386;537;30
2021-03-11;3;2389;580;29
2021-03-12;2;2391;479;16
2021-03-13;1;2392;461;31
2021-03-14;2;2394;486;25
2021-03-15;2;2396;634;25
2021-03-16;0;2396;740;35
2021-03-17;2;2398;659;28
2021-03-18;0;2398;644;26
2021-03-19;3;2401;639;18
2021-03-20;0;2401;577;21
2021-03-21;1;2402;561;31
2021-03-22;1;2403;775;42
2021-03-23;1;2404;801;24
2021-03-24;8;2412;778;29
2021-03-25;0;2412;635;40
2021-03-26;2;2414;694;33
2021-03-27;1;2415;669;37
2021-03-28;0;2415;610;33
2021-03-29;1;2416;763;51
2021-03-30;3;2419;668;35
2021-03-31;4;2423;685;45
2021-04-01;1;2424;706;34
2021-04-02;4;2428;548;31
2021-04-03;1;2429;516;30
2021-04-04;1;2430;459;28
2021-04-05;3;2433;551;24
2021-04-06;1;2434;695;44
2021-04-07;1;2435;704;31
2021-04-08;2;2437;706;34
2021-04-09;2;2439;715;30
2021-04-10;2;2441;541;28
2021-04-11;3;2444;528;25
2021-04-12;3;2447;747;30
2021-04-13;0;2447;733;33
2021-04-14;2;2449;690;30
2021-04-15;2;2451;725;34
2021-04-16;5;2456;700;27
2021-04-17;3;2459;647;33
2021-04-18;3;2462;709;38
2021-04-19;2;2464;857;43
2021-04-20;3;2467;838;37
2021-04-21;4;2471;656;32
2021-04-22;3;2474;615;30
2021-04-23;1;2475;614;26
2021-04-24;2;2477;563;30
2021-04-25;1;2478;593;15
2021-04-26;1;2479;762;26
2021-04-27;3;2482;886;40
2021-04-28;2;2484;804;33
2021-04-29;2;2486;792;40
2021-04-30;3;2489;754;22
2021-05-01;1;2490;687;25
2021-05-02;1;2491;707;27
2021-05-03;0;2491;1015;27
2021-05-04;2;2493;964;26
2021-05-05;1;2494;1049;22
2021-05-06;1;2495;879;26
2021-05-07;2;2497;895;38
2021-05-08;0;2497;846;36
2021-05-09;0;2497;794;27
2021-05-10;2;2499;1122;48
2021-05-11;0;2499;1290;22
2021-05-12;0;2499;1149;38
2021-05-13;0;2499;900;37
2021-05-14;3;2502;865;45
2021-05-15;1;2503;938;32
2021-05-16;1;2504;916;32
2021-05-17;1;2505;1139;25
2021-05-18;0;2505;1146;26
2021-05-19;1;2506;1126;37
2021-05-20;0;2506;1010;22
2021-05-21;1;2507;817;38
2021-05-22;1;2508;781;23
2021-05-23;1;2509;797;27
2021-05-24;1;2510;856;23
2021-05-25;1;2511;1091;30
2021-05-26;2;2513;1190;28
2021-05-27;1;2514;990;37
2021-05-28;2;2516;916;33
2021-05-29;0;2516;809;26
2021-05-30;0;2516;817;20
2021-05-31;0;2516;1006;37
2021-06-01;1;2517;1098;28
2021-06-02;0;2517;922;23
2021-06-03;0;2517;748;27
2021-06-04;1;2518;699;21
2021-06-05;0;2518;620;14
2021-06-06;2;2520;540;13
2021-06-07;0;2520;616;26
2021-06-08;0;2520;505;13
2021-06-09;3;2523;473;29
2021-06-10;2;2525;416;17
2021-06-11;1;2526;310;12
2021-06-12;0;2526;244;10
2021-06-13;1;2527;226;18
2021-06-14;2;2529;306;18
2021-06-15;0;2529;303;11
2021-06-16;0;2529;286;9
2021-06-17;0;2529;211;7
2021-06-18;1;2530;200;10
2021-06-19;1;2531;171;12
2021-06-20;0;2531;157;10
2021-06-21;0;2531;188;6
2021-06-22;0;2531;174;9
2021-06-23;0;2531;202;7
2021-06-24;0;2531;211;8
2021-06-25;1;2532;189;8
2021-06-26;1;2533;144;6
2021-06-27;1;2534;184;4
2021-06-28;1;2535;285;3
2021-06-29;0;2535;391;4
2021-06-30;0;2535;471;7
2021-07-01;2;2537;385;11
2021-07-02;0;2537;369;6
2021-07-03;0;2537;352;3
2021-07-04;1;2538;402;4
2021-07-05;0;2538;667;10
2021-07-06;0;2538;648;5
2021-07-07;0;2538;609;7
2021-07-08;0;2538;533;13
2021-07-09;1;2539;559;7
2021-07-10;0;2539;648;7
2021-07-11;0;2539;914;12
2021-07-12;0;2539;1098;15
2021-07-13;0;2539;1191;19
2021-07-14;2;2541;1183;15
2021-07-15;1;2542;1027;16
2021-07-16;0;2542;800;15
2021-07-17;0;2542;771;10
2021-07-18;0;2542;707;12
2021-07-19;0;2542;849;18
2021-07-20;1;2543;798;15
2021-07-21;0;2543;792;13
2021-07-22;0;2543;693;14
2021-07-23;0;2543;720;14
2021-07-24;0;2543;628;8
2021-07-25;2;2545;763;17
2021-07-26;2;2547;1017;17
2021-07-27;0;2547;952;24
2021-07-28;1;2548;969;15
2021-07-29;1;2549;875;16
2021-07-30;0;2549;827;19
2021-07-31;1;2550;739;11
2021-08-01;0;2550;822;12
2021-08-02;0;2550;896;12
2021-08-03;1;2551;867;19
2021-08-04;1;2552;909;14
2021-08-05;0;2552;921;26
2021-08-06;0;2552;904;19
2021-08-07;1;2553;831;21
2021-08-08;1;2554;968;17
2021-08-09;1;2555;1075;27
2021-08-10;2;2557;1059;28
2021-08-11;0;2557;975;31
2021-08-12;3;2560;990;26
2021-08-13;1;2561;952;21
2021-08-14;0;2561;814;25
2021-08-15;1;2562;930;30
2021-08-16;1;2563;1085;29
2021-08-17;1;2564;1011;26
2021-08-18;1;2565;966;34
2021-08-19;1;2566;1011;32
2021-08-20;1;2567;980;28
2021-08-21;2;2569;758;40
2021-08-22;1;2570;974;34
2021-08-23;2;2572;1035;26
2021-08-24;1;2573;1009;34
2021-08-25;1;2574;946;33
2021-08-26;2;2576;1012;27
2021-08-27;3;2579;732;38
2021-08-28;2;2581;663;26
2021-08-29;2;2583;767;18
2021-08-30;1;2584;898;40
2021-08-31;0;2584;804;30
2021-09-01;1;2585;711;30
2021-09-02;4;2589;581;30
2021-09-03;1;2590;531;18
2021-09-04;0;2590;416;25
2021-09-05;2;2592;467;21
2021-09-06;4;2596;585;29
2021-09-07;4;2600;608;31
2021-09-08;6;2606;493;23
2021-09-09;4;2610;485;27
2021-09-10;2;2612;377;18
2021-09-11;1;2613;304;11
2021-09-12;2;2615;328;16
2021-09-13;0;2615;405;22
2021-09-14;3;2618;343;11
2021-09-15;3;2621;315;13
2021-09-16;4;2625;302;14
2021-09-17;1;2626;309;12
2021-09-18;3;2629;206;11
2021-09-19;3;2632;269;11
2021-09-20;3;2635;378;17
2021-09-21;1;2636;339;12
2021-09-22;4;2640;356;13
2021-09-23;2;2642;367;10
2021-09-24;2;2644;349;13
2021-09-25;3;2647;333;10
2021-09-26;2;2649;351;19
2021-09-27;5;2654;482;12
2021-09-28;2;2656;528;9
2021-09-29;2;2658;407;16
2021-09-30;3;2661;441;12
2021-10-01;3;2664;394;22
2021-10-02;1;2665;323;6
2021-10-03;0;2665;404;9
2021-10-04;0;2665;546;17
2021-10-05;2;2667;558;22
2021-10-06;2;2669;624;20
2021-10-07;2;2671;653;11
2021-10-08;0;2671;598;12
2021-10-09;2;2673;467;17
2021-10-10;2;2675;551;14
2021-10-11;2;2677;750;17
2021-10-12;0;2677;756;13
2021-10-13;4;2681;745;38
2021-10-14;1;2682;770;23
2021-10-15;2;2684;651;29
2021-10-16;3;2687;597;24
2021-10-17;4;2691;711;20
2021-10-18;1;2692;957;36
2021-10-19;3;2695;1118;22
2021-10-20;2;2697;1272;38
2021-10-21;2;2699;1394;34
2021-10-22;1;2700;1235;42
2021-10-23;1;2701;1195;33
2021-10-24;0;2701;1433;43
2021-10-25;4;2705;1612;37
2021-10-26;3;2708;1898;36
2021-10-27;2;2710;1816;54
2021-10-28;1;2711;1763;43
2021-10-29;4;2715;1611;48
2021-10-30;3;2718;1399;43
2021-10-31;2;2720;1699;46
2021-11-01;0;2720;2191;63
2021-11-02;3;2723;2313;59
2021-11-03;3;2726;2295;51
2021-11-04;8;2734;2340;62
2021-11-05;3;2737;2205;48
2021-11-06;4;2741;1954;44
2021-11-07;4;2745;2570;57
2021-11-08;1;2746;3314;63
2021-11-09;3;2749;3529;52
2021-11-10;4;2753;3479;68
2021-11-11;4;2757;3412;65
2021-11-12;6;2763;2946;77
2021-11-13;9;2772;2876;63
2021-11-14;6;2778;3046;67
2021-11-15;9;2787;4463;86
2021-11-16;4;2791;4080;82
2021-11-17;3;2794;3896;77
2021-11-18;8;2802;4129;77
2021-11-19;8;2810;4061;78
2021-11-20;4;2814;3680;84
2021-11-21;4;2818;3643;72
2021-11-22;7;2825;4447;90
2021-11-23;11;2836;4652;82
2021-11-24;10;2846;3960;73
2021-11-25;12;2858;4033;87
2021-11-26;12;2870;4096;87
2021-11-27;9;2879;3796;72
2021-11-28;15;2894;3835;77
2021-11-29;9;2903;5016;83
2021-11-30;13;2916;5347;97
2021-12-01;5;2921;4463;84
2021-12-02;13;2934;4507;87
2021-12-03;12;2946;5103;98
2021-12-04;9;2955;5039;90
2021-12-05;7;2962;4752;80
2021-12-06;9;2971;6995;112
2021-12-07;7;2978;7190;93
2021-12-08;16;2994;6560;100
2021-12-09;8;3002;6523;85
2021-12-10;9;3011;6803;117
2021-12-11;11;3022;6578;77
2021-12-12;7;3029;6984;95
2021-12-13;10;3039;10295;117
2021-12-14;7;3046;11063;99
2021-12-15;11;3057;10774;135
2021-12-16;10;3067;10171;112
2021-12-17;14;3081;10614;124
2021-12-18;12;3093;10048;105
2021-12-19;13;3106;10231;95
2021-12-20;12;3118;13288;123
2021-12-21;11;3129;13012;128
2021-12-22;14;3143;11591;141
2021-12-23;18;3161;12604;137
2021-12-24;10;3171;7054;89
2021-12-25;11;3182;7852;118
2021-12-26;10;3192;10965;107
2021-12-27;8;3200;22615;178
2021-12-28;11;3211;21955;171
2021-12-29;9;3220;17247;179
2021-12-30;9;3229;19227;165
2021-12-31;11;3240;9728;121
2022-01-01;12;3252;8631;169
2022-01-02;10;3262;19907;171
2022-01-03;15;3277;25616;220
2022-01-04;15;3292;23701;177
2022-01-05;16;3308;17579;154
2022-01-06;16;3324;15417;168
2022-01-07;17;3341;14438;137
2022-01-08;14;3355;13572;122
2022-01-09;16;3371;16332;155
2022-01-10;17;3388;23248;184
2022-01-11;18;3406;22656;198
2022-01-12;17;3423;22582;189
2022-01-13;15;3438;23779;200
2022-01-14;13;3451;25886;179
2022-01-15;9;3460;25187;165
2022-01-16;17;3477;28181;199
2022-01-17;11;3488;41494;249
2022-01-18;8;3496;40304;238
2022-01-19;25;3521;37600;213
2022-01-20;22;3543;37428;224
2022-01-21;20;3563;37408;219
2022-01-22;10;3573;34714;212
2022-01-23;15;3588;38018;236
2022-01-24;15;3603;53716;288
2022-01-25;21;3624;48689;292
2022-01-26;19;3643;41724;279
2022-01-27;16;3659;39088;290
2022-01-28;18;3677;35946;250
2022-01-29;16;3693;28186;218
2022-01-30;11;3704;12808;195
