;Date;Number_of_deaths;Cumulative_number_of_deaths;Confirmed_cases;Admissions_hospital
0;2020-02-26;0;0;1;0
1;2020-02-27;0;0;1;0
2;2020-02-28;0;0;1;0
3;2020-03-01;0;0;1;1
4;2020-03-02;0;0;4;0
5;2020-03-03;0;0;4;1
6;2020-03-04;0;0;3;0
7;2020-03-05;0;0;10;1
8;2020-03-06;0;0;2;4
9;2020-03-07;0;0;9;0
10;2020-03-08;0;0;48;3
11;2020-03-09;0;0;210;9
12;2020-03-10;0;0;255;15
13;2020-03-11;1;1;206;10
14;2020-03-12;0;1;41;18
15;2020-03-13;0;1;33;26
16;2020-03-14;1;2;37;24
17;2020-03-15;2;4;45;33
18;2020-03-16;1;5;74;45
19;2020-03-17;1;6;76;47
20;2020-03-18;4;10;83;47
21;2020-03-19;5;15;106;50
22;2020-03-20;4;19;102;64
23;2020-03-21;3;22;48;34
24;2020-03-22;3;25;62;42
25;2020-03-23;6;31;131;85
26;2020-03-24;6;37;138;81
27;2020-03-25;6;43;151;90
28;2020-03-26;12;55;170;79
29;2020-03-27;12;67;215;87
30;2020-03-28;9;76;200;83
31;2020-03-29;8;84;127;52
32;2020-03-30;11;95;309;69
33;2020-03-31;15;110;254;51
34;2020-04-01;22;132;279;61
35;2020-04-02;18;150;380;72
36;2020-04-03;20;170;471;72
37;2020-04-04;15;185;293;44
38;2020-04-05;12;197;157;36
39;2020-04-06;17;214;423;51
40;2020-04-07;12;226;345;56
41;2020-04-08;15;241;294;28
42;2020-04-09;13;254;136;34
43;2020-04-10;16;270;140;34
44;2020-04-11;11;281;139;31
45;2020-04-12;11;292;156;27
46;2020-04-13;16;308;156;30
47;2020-04-14;12;320;258;45
48;2020-04-15;10;330;198;30
49;2020-04-16;12;342;178;33
50;2020-04-17;9;351;168;27
51;2020-04-18;10;361;104;27
52;2020-04-19;6;367;111;34
53;2020-04-20;7;374;213;33
54;2020-04-21;12;386;200;38
55;2020-04-22;14;400;226;29
56;2020-04-23;10;410;231;33
57;2020-04-24;6;416;164;22
58;2020-04-25;5;421;134;27
59;2020-04-26;5;426;119;26
60;2020-04-27;9;435;217;21
61;2020-04-28;10;445;136;15
62;2020-04-29;9;454;139;15
63;2020-04-30;9;463;146;17
64;2020-05-01;11;474;148;16
65;2020-05-02;8;482;115;24
66;2020-05-03;9;491;78;16
67;2020-05-04;7;498;120;15
68;2020-05-05;3;501;122;16
69;2020-05-06;6;507;105;6
70;2020-05-07;6;513;122;15
71;2020-05-08;4;517;69;9
72;2020-05-09;3;520;64;10
73;2020-05-10;5;525;57;10
74;2020-05-11;4;529;78;8
75;2020-05-12;7;536;56;8
76;2020-05-13;5;541;65;6
77;2020-05-14;0;541;61;13
78;2020-05-15;6;547;89;17
79;2020-05-16;3;550;34;5
80;2020-05-17;3;553;50;4
81;2020-05-18;3;556;80;14
82;2020-05-19;2;558;60;7
83;2020-05-20;5;563;69;7
84;2020-05-21;0;563;31;6
85;2020-05-22;1;564;71;13
86;2020-05-23;1;565;35;9
87;2020-05-24;1;566;34;2
88;2020-05-25;0;566;52;6
89;2020-05-26;3;569;62;11
90;2020-05-27;1;570;52;7
91;2020-05-28;0;570;37;5
92;2020-05-29;1;571;42;9
93;2020-05-30;4;575;33;7
94;2020-05-31;2;577;22;4
95;2020-06-01;3;580;35;5
96;2020-06-02;1;581;55;6
97;2020-06-03;1;582;52;3
98;2020-06-04;4;586;41;5
99;2020-06-05;2;588;34;9
100;2020-06-06;3;591;15;2
101;2020-06-07;2;593;14;4
102;2020-06-08;0;593;43;5
103;2020-06-09;0;593;28;1
104;2020-06-10;0;593;38;1
105;2020-06-11;1;594;48;1
106;2020-06-12;3;597;60;6
107;2020-06-13;0;597;27;4
108;2020-06-14;1;598;20;1
109;2020-06-15;0;598;39;2
110;2020-06-16;1;599;45;7
111;2020-06-17;1;600;74;5
112;2020-06-18;1;601;45;2
113;2020-06-19;1;602;42;4
114;2020-06-20;1;603;38;4
115;2020-06-21;0;603;31;4
116;2020-06-22;0;603;45;5
117;2020-06-23;1;604;19;4
118;2020-06-24;0;604;45;6
119;2020-06-25;1;605;30;5
120;2020-06-26;0;605;20;1
121;2020-06-27;0;605;18;4
122;2020-06-28;1;606;11;6
123;2020-06-29;0;606;27;3
124;2020-06-30;0;606;23;0
125;2020-07-01;0;606;10;2
126;2020-07-02;0;606;15;4
127;2020-07-03;0;606;17;1
128;2020-07-04;1;607;13;0
129;2020-07-05;0;607;11;2
130;2020-07-06;2;609;9;2
131;2020-07-07;0;609;13;2
132;2020-07-08;0;609;26;1
133;2020-07-09;0;609;41;3
134;2020-07-10;1;610;33;3
135;2020-07-11;0;610;24;5
136;2020-07-12;0;610;22;0
137;2020-07-13;0;610;32;0
138;2020-07-14;0;610;33;3
139;2020-07-15;0;610;42;3
140;2020-07-16;0;610;52;1
141;2020-07-17;1;611;32;3
142;2020-07-18;0;611;43;2
143;2020-07-19;0;611;28;2
144;2020-07-20;0;611;32;3
145;2020-07-21;0;611;36;2
146;2020-07-22;2;613;34;4
147;2020-07-23;0;613;51;1
148;2020-07-24;0;613;36;2
149;2020-07-25;0;613;27;5
150;2020-07-26;0;613;23;2
151;2020-07-27;0;613;63;3
152;2020-07-28;1;614;77;2
153;2020-07-29;1;615;59;6
154;2020-07-30;0;615;84;5
155;2020-07-31;1;616;58;3
156;2020-08-01;0;616;64;4
157;2020-08-02;0;616;78;2
158;2020-08-03;0;616;117;7
159;2020-08-04;0;616;121;5
160;2020-08-05;1;617;116;7
161;2020-08-06;0;617;171;3
162;2020-08-07;0;617;141;5
163;2020-08-08;1;618;89;3
164;2020-08-09;2;620;129;2
165;2020-08-10;1;621;152;4
166;2020-08-11;0;621;136;3
167;2020-08-12;0;621;160;3
168;2020-08-13;0;621;116;4
169;2020-08-14;0;621;110;6
170;2020-08-15;0;621;126;2
171;2020-08-16;0;621;90;5
172;2020-08-17;0;621;96;8
173;2020-08-18;0;621;112;1
174;2020-08-19;0;621;86;6
175;2020-08-20;0;621;81;7
176;2020-08-21;1;622;83;5
177;2020-08-22;1;623;88;3
178;2020-08-23;0;623;73;4
179;2020-08-24;0;623;72;3
180;2020-08-25;1;624;81;3
181;2020-08-26;0;624;79;8
182;2020-08-27;0;624;69;1
183;2020-08-28;0;624;107;4
184;2020-08-29;0;624;82;1
185;2020-08-30;0;624;103;3
186;2020-08-31;2;626;118;6
187;2020-09-01;0;626;198;1
188;2020-09-02;0;626;155;5
189;2020-09-03;1;627;192;4
190;2020-09-04;0;627;199;8
191;2020-09-05;0;627;197;12
192;2020-09-06;1;628;222;9
193;2020-09-07;0;628;295;7
194;2020-09-08;0;628;327;6
195;2020-09-09;1;629;293;13
196;2020-09-10;0;629;367;14
197;2020-09-11;1;630;346;11
198;2020-09-12;1;631;301;17
199;2020-09-13;2;633;296;10
200;2020-09-14;0;633;380;13
201;2020-09-15;1;634;435;14
202;2020-09-16;1;635;549;21
203;2020-09-17;0;635;516;13
204;2020-09-18;0;635;475;14
205;2020-09-19;3;638;416;24
206;2020-09-20;3;641;408;19
207;2020-09-21;1;642;535;21
208;2020-09-22;2;644;587;14
209;2020-09-23;1;645;651;24
210;2020-09-24;2;647;598;26
211;2020-09-25;1;648;488;18
212;2020-09-26;1;649;393;12
213;2020-09-27;0;649;357;19
214;2020-09-28;1;650;481;21
215;2020-09-29;1;651;449;14
216;2020-09-30;0;651;434;20
217;2020-10-01;2;653;427;23
218;2020-10-02;2;655;366;19
219;2020-10-03;3;658;338;11
220;2020-10-04;3;661;306;21
221;2020-10-05;2;663;427;30
222;2020-10-06;0;663;426;10
223;2020-10-07;1;664;452;16
224;2020-10-08;3;667;422;9
225;2020-10-09;1;668;411;15
226;2020-10-10;3;671;281;15
227;2020-10-11;2;673;256;14
228;2020-10-12;3;676;457;24
229;2020-10-13;1;677;425;19
230;2020-10-14;1;678;469;22
231;2020-10-15;0;678;449;21
232;2020-10-16;2;680;464;21
233;2020-10-17;5;685;431;15
234;2020-10-18;3;688;451;24
235;2020-10-19;1;689;687;25
236;2020-10-20;3;692;780;19
237;2020-10-21;4;696;847;25
238;2020-10-22;4;700;866;18
239;2020-10-23;5;705;860;27
240;2020-10-24;3;708;819;22
241;2020-10-25;3;711;916;27
242;2020-10-26;3;714;1005;32
243;2020-10-27;2;716;1241;35
244;2020-10-28;3;719;1203;30
245;2020-10-29;2;721;1012;37
246;2020-10-30;1;722;1081;33
247;2020-10-31;2;724;976;40
248;2020-11-01;1;725;954;38
249;2020-11-02;4;729;1271;40
250;2020-11-03;3;732;1256;41
251;2020-11-04;5;737;1241;52
252;2020-11-05;3;740;1028;48
253;2020-11-06;4;744;959;32
254;2020-11-07;1;745;844;29
255;2020-11-08;4;749;737;39
256;2020-11-09;4;753;1043;56
257;2020-11-10;2;755;1053;37
258;2020-11-11;1;756;1088;49
259;2020-11-12;1;757;1052;34
260;2020-11-13;1;758;1148;39
261;2020-11-14;5;763;1043;34
262;2020-11-15;3;766;989;32
263;2020-11-16;4;770;1251;50
264;2020-11-17;3;773;1328;63
265;2020-11-18;5;778;1330;46
266;2020-11-19;3;781;1221;42
267;2020-11-20;4;785;1222;42
268;2020-11-21;5;790;1001;32
269;2020-11-22;6;796;1009;40
270;2020-11-23;3;799;1187;48
271;2020-11-24;6;805;1326;39
272;2020-11-25;8;813;1313;47
273;2020-11-26;4;817;1255;48
274;2020-11-27;8;825;1308;30
275;2020-11-28;6;831;1151;31
276;2020-11-29;11;842;1173;34
277;2020-11-30;7;849;1531;45
278;2020-12-01;10;859;1712;50
279;2020-12-02;6;865;1876;54
280;2020-12-03;11;876;1906;54
281;2020-12-04;7;883;2017;56
282;2020-12-05;10;893;1715;66
283;2020-12-06;9;902;1976;69
284;2020-12-07;6;908;2750;90
285;2020-12-08;7;915;3123;62
286;2020-12-09;10;925;3189;76
287;2020-12-10;7;932;3281;100
288;2020-12-11;7;939;3293;95
289;2020-12-12;8;947;3088;85
290;2020-12-13;11;958;3166;103
291;2020-12-14;11;969;3985;126
292;2020-12-15;16;985;4290;146
293;2020-12-16;14;999;4386;141
294;2020-12-17;15;1014;3611;147
295;2020-12-18;11;1025;3130;149
296;2020-12-19;20;1045;2754;153
297;2020-12-20;19;1064;2453;128
298;2020-12-21;19;1083;3099;184
299;2020-12-22;21;1104;2867;147
300;2020-12-23;19;1123;3075;152
301;2020-12-24;22;1145;1472;122
302;2020-12-25;21;1166;1586;168
303;2020-12-26;26;1192;2684;144
304;2020-12-27;29;1221;2184;138
305;2020-12-28;25;1246;3062;210
306;2020-12-29;32;1278;2475;144
307;2020-12-30;28;1306;2768;127
308;2020-12-31;33;1339;1227;121
309;2021-01-01;21;1360;1202;150
310;2021-01-02;33;1393;2040;139
311;2021-01-03;28;1421;1669;116
312;2021-01-04;27;1448;2476;158
313;2021-01-05;21;1469;1923;105
314;2021-01-06;36;1505;1655;129
315;2021-01-07;29;1534;1584;139
316;2021-01-08;26;1560;1425;117
317;2021-01-09;23;1583;1191;113
318;2021-01-10;36;1619;990;107
319;2021-01-11;25;1644;1347;123
320;2021-01-12;38;1682;1254;97
321;2021-01-13;30;1712;1111;106
322;2021-01-14;29;1741;1001;88
323;2021-01-15;26;1767;850;99
324;2021-01-16;31;1798;717;79
325;2021-01-17;29;1827;674;80
326;2021-01-18;29;1856;924;124
327;2021-01-19;39;1895;912;105
328;2021-01-20;29;1924;773;66
329;2021-01-21;27;1951;852;89
330;2021-01-22;24;1975;710;81
331;2021-01-23;26;2001;588;59
332;2021-01-24;20;2021;512;60
333;2021-01-25;25;2046;719;73
334;2021-01-26;20;2066;677;50
335;2021-01-27;17;2083;530;58
336;2021-01-28;19;2102;498;51
337;2021-01-29;19;2121;402;48
338;2021-01-30;19;2140;357;29
339;2021-01-31;16;2156;380;41
340;2021-02-01;13;2169;500;47
341;2021-02-02;10;2179;482;36
342;2021-02-03;17;2196;424;32
343;2021-02-04;14;2210;438;32
344;2021-02-05;11;2221;404;39
345;2021-02-06;7;2228;427;21
346;2021-02-07;8;2236;387;30
347;2021-02-08;13;2249;437;35
348;2021-02-09;16;2265;457;40
349;2021-02-10;12;2277;445;36
350;2021-02-11;9;2286;368;23
351;2021-02-12;7;2293;315;22
352;2021-02-13;9;2302;331;33
353;2021-02-14;5;2307;338;21
354;2021-02-15;7;2314;398;25
355;2021-02-16;3;2317;518;19
356;2021-02-17;6;2323;505;22
357;2021-02-18;9;2332;541;31
358;2021-02-19;4;2336;457;31
359;2021-02-20;5;2341;430;24
360;2021-02-21;5;2346;472;20
361;2021-02-22;0;2346;583;28
362;2021-02-23;2;2348;600;24
363;2021-02-24;7;2355;535;32
364;2021-02-25;1;2356;537;34
365;2021-02-26;4;2360;492;26
366;2021-02-27;4;2364;422;27
367;2021-02-28;3;2367;471;22
368;2021-03-01;1;2368;591;25
369;2021-03-02;4;2372;594;37
370;2021-03-03;3;2375;540;28
371;2021-03-04;2;2377;481;29
372;2021-03-05;0;2377;464;23
373;2021-03-06;2;2379;447;40
374;2021-03-07;2;2381;452;22
375;2021-03-08;0;2381;595;23
376;2021-03-09;2;2383;638;33
377;2021-03-10;3;2386;537;30
378;2021-03-11;3;2389;580;29
379;2021-03-12;2;2391;479;16
380;2021-03-13;1;2392;461;31
381;2021-03-14;2;2394;486;25
382;2021-03-15;2;2396;634;25
383;2021-03-16;0;2396;740;35
384;2021-03-17;2;2398;659;28
385;2021-03-18;0;2398;644;26
386;2021-03-19;3;2401;639;18
387;2021-03-20;0;2401;577;21
388;2021-03-21;1;2402;561;31
389;2021-03-22;1;2403;775;42
390;2021-03-23;1;2404;801;24
391;2021-03-24;8;2412;778;29
392;2021-03-25;0;2412;635;40
393;2021-03-26;2;2414;694;33
394;2021-03-27;1;2415;669;37
395;2021-03-28;0;2415;610;33
396;2021-03-29;1;2416;763;51
397;2021-03-30;3;2419;668;35
398;2021-03-31;4;2423;685;45
399;2021-04-01;1;2424;706;34
400;2021-04-02;4;2428;548;31
401;2021-04-03;1;2429;516;30
402;2021-04-04;1;2430;459;28
403;2021-04-05;3;2433;551;24
404;2021-04-06;1;2434;695;44
405;2021-04-07;1;2435;704;31
406;2021-04-08;2;2437;706;34
407;2021-04-09;2;2439;715;30
408;2021-04-10;2;2441;541;28
409;2021-04-11;3;2444;528;25
410;2021-04-12;3;2447;747;30
411;2021-04-13;0;2447;733;33
412;2021-04-14;2;2449;690;30
413;2021-04-15;2;2451;725;34
414;2021-04-16;5;2456;700;27
415;2021-04-17;3;2459;647;33
416;2021-04-18;3;2462;709;38
417;2021-04-19;2;2464;857;43
418;2021-04-20;3;2467;838;37
419;2021-04-21;4;2471;656;32
420;2021-04-22;3;2474;615;30
421;2021-04-23;1;2475;614;26
422;2021-04-24;2;2477;563;30
423;2021-04-25;1;2478;593;15
424;2021-04-26;1;2479;762;26
425;2021-04-27;3;2482;886;40
426;2021-04-28;2;2484;804;33
427;2021-04-29;2;2486;792;40
428;2021-04-30;3;2489;754;22
429;2021-05-01;1;2490;687;25
430;2021-05-02;1;2491;707;27
431;2021-05-03;0;2491;1015;27
432;2021-05-04;2;2493;964;26
433;2021-05-05;1;2494;1049;22
434;2021-05-06;1;2495;879;26
435;2021-05-07;2;2497;895;38
436;2021-05-08;0;2497;846;36
437;2021-05-09;0;2497;794;27
438;2021-05-10;2;2499;1122;48
439;2021-05-11;0;2499;1290;22
440;2021-05-12;0;2499;1149;38
441;2021-05-13;0;2499;900;37
442;2021-05-14;3;2502;865;45
443;2021-05-15;1;2503;938;32
444;2021-05-16;1;2504;916;32
445;2021-05-17;1;2505;1139;25
446;2021-05-18;0;2505;1146;26
447;2021-05-19;1;2506;1126;37
448;2021-05-20;0;2506;1010;22
449;2021-05-21;1;2507;817;38
450;2021-05-22;1;2508;781;23
451;2021-05-23;1;2509;797;27
452;2021-05-24;1;2510;856;23
453;2021-05-25;1;2511;1091;30
454;2021-05-26;2;2513;1190;28
455;2021-05-27;1;2514;990;37
456;2021-05-28;2;2516;916;33
457;2021-05-29;0;2516;809;26
458;2021-05-30;0;2516;817;20
459;2021-05-31;0;2516;1006;37
460;2021-06-01;1;2517;1098;28
461;2021-06-02;0;2517;922;23
462;2021-06-03;0;2517;748;27
463;2021-06-04;1;2518;699;21
464;2021-06-05;0;2518;620;14
465;2021-06-06;2;2520;540;13
466;2021-06-07;0;2520;616;26
467;2021-06-08;0;2520;505;13
468;2021-06-09;3;2523;473;29
469;2021-06-10;2;2525;416;17
470;2021-06-11;1;2526;310;12
471;2021-06-12;0;2526;244;10
472;2021-06-13;1;2527;226;18
473;2021-06-14;2;2529;306;18
474;2021-06-15;0;2529;303;11
475;2021-06-16;0;2529;286;9
476;2021-06-17;0;2529;211;7
477;2021-06-18;1;2530;200;10
478;2021-06-19;1;2531;171;12
479;2021-06-20;0;2531;157;10
480;2021-06-21;0;2531;188;6
481;2021-06-22;0;2531;174;9
482;2021-06-23;0;2531;202;7
483;2021-06-24;0;2531;211;8
484;2021-06-25;1;2532;189;8
485;2021-06-26;1;2533;144;6
486;2021-06-27;1;2534;184;4
487;2021-06-28;1;2535;285;3
488;2021-06-29;0;2535;391;4
489;2021-06-30;0;2535;471;7
490;2021-07-01;2;2537;385;11
491;2021-07-02;0;2537;369;6
492;2021-07-03;0;2537;352;3
493;2021-07-04;1;2538;402;4
494;2021-07-05;0;2538;667;10
495;2021-07-06;0;2538;648;5
496;2021-07-07;0;2538;609;7
497;2021-07-08;0;2538;533;13
498;2021-07-09;1;2539;559;7
499;2021-07-10;0;2539;648;7
500;2021-07-11;0;2539;914;12
501;2021-07-12;0;2539;1098;15
502;2021-07-13;0;2539;1191;19
503;2021-07-14;2;2541;1183;15
504;2021-07-15;1;2542;1027;16
505;2021-07-16;0;2542;800;15
506;2021-07-17;0;2542;771;10
507;2021-07-18;0;2542;707;12
508;2021-07-19;0;2542;849;18
509;2021-07-20;1;2543;798;15
510;2021-07-21;0;2543;792;13
511;2021-07-22;0;2543;693;14
512;2021-07-23;0;2543;720;14
513;2021-07-24;0;2543;628;8
514;2021-07-25;2;2545;763;17
515;2021-07-26;2;2547;1017;17
516;2021-07-27;0;2547;952;24
517;2021-07-28;1;2548;969;15
518;2021-07-29;1;2549;875;16
519;2021-07-30;0;2549;827;19
520;2021-07-31;1;2550;739;11
521;2021-08-01;0;2550;822;12
522;2021-08-02;0;2550;896;12
523;2021-08-03;1;2551;867;19
524;2021-08-04;1;2552;909;14
525;2021-08-05;0;2552;921;26
526;2021-08-06;0;2552;904;19
527;2021-08-07;1;2553;831;21
528;2021-08-08;1;2554;968;17
529;2021-08-09;1;2555;1075;27
530;2021-08-10;2;2557;1059;28
531;2021-08-11;0;2557;975;31
532;2021-08-12;3;2560;990;26
533;2021-08-13;1;2561;952;21
534;2021-08-14;0;2561;814;25
535;2021-08-15;1;2562;930;30
536;2021-08-16;1;2563;1085;29
537;2021-08-17;1;2564;1011;26
538;2021-08-18;1;2565;966;34
539;2021-08-19;1;2566;1011;32
540;2021-08-20;1;2567;980;28
541;2021-08-21;2;2569;758;40
542;2021-08-22;1;2570;974;34
543;2021-08-23;2;2572;1035;26
544;2021-08-24;1;2573;1009;34
545;2021-08-25;1;2574;946;33
546;2021-08-26;2;2576;1012;27
547;2021-08-27;3;2579;732;38
548;2021-08-28;2;2581;663;26
549;2021-08-29;2;2583;767;18
550;2021-08-30;1;2584;898;40
551;2021-08-31;0;2584;804;30
552;2021-09-01;1;2585;711;30
553;2021-09-02;4;2589;581;30
554;2021-09-03;1;2590;531;18
555;2021-09-04;0;2590;416;25
556;2021-09-05;2;2592;467;21
557;2021-09-06;4;2596;585;29
558;2021-09-07;4;2600;608;31
559;2021-09-08;6;2606;493;23
560;2021-09-09;4;2610;485;27
561;2021-09-10;2;2612;377;18
562;2021-09-11;1;2613;304;11
563;2021-09-12;2;2615;328;16
564;2021-09-13;0;2615;405;22
565;2021-09-14;3;2618;343;11
566;2021-09-15;3;2621;315;13
567;2021-09-16;4;2625;302;14
568;2021-09-17;1;2626;309;12
569;2021-09-18;3;2629;206;11
570;2021-09-19;3;2632;269;11
571;2021-09-20;3;2635;378;17
572;2021-09-21;1;2636;339;12
573;2021-09-22;4;2640;356;13
574;2021-09-23;2;2642;367;10
575;2021-09-24;2;2644;349;13
576;2021-09-25;3;2647;333;10
577;2021-09-26;2;2649;351;19
578;2021-09-27;5;2654;482;12
579;2021-09-28;2;2656;528;9
580;2021-09-29;2;2658;407;16
581;2021-09-30;3;2661;441;12
582;2021-10-01;3;2664;394;22
583;2021-10-02;1;2665;323;6
584;2021-10-03;0;2665;404;9
585;2021-10-04;0;2665;546;17
586;2021-10-05;2;2667;558;22
587;2021-10-06;2;2669;624;20
588;2021-10-07;2;2671;653;11
589;2021-10-08;0;2671;598;12
590;2021-10-09;2;2673;467;17
591;2021-10-10;2;2675;551;14
592;2021-10-11;2;2677;750;17
593;2021-10-12;0;2677;756;13
594;2021-10-13;4;2681;745;38
595;2021-10-14;1;2682;770;23
596;2021-10-15;2;2684;651;29
597;2021-10-16;3;2687;597;24
598;2021-10-17;4;2691;711;20
599;2021-10-18;1;2692;957;36
600;2021-10-19;3;2695;1118;22
601;2021-10-20;2;2697;1272;38
602;2021-10-21;2;2699;1394;34
603;2021-10-22;1;2700;1235;42
604;2021-10-23;1;2701;1195;33
605;2021-10-24;0;2701;1433;43
606;2021-10-25;4;2705;1612;37
607;2021-10-26;3;2708;1898;36
608;2021-10-27;2;2710;1816;54
609;2021-10-28;1;2711;1763;43
610;2021-10-29;4;2715;1611;48
611;2021-10-30;3;2718;1399;43
612;2021-10-31;2;2720;1699;46
613;2021-11-01;0;2720;2191;63
614;2021-11-02;3;2723;2313;59
615;2021-11-03;3;2726;2295;51
616;2021-11-04;8;2734;2340;62
617;2021-11-05;3;2737;2205;48
618;2021-11-06;4;2741;1954;44
619;2021-11-07;4;2745;2570;57
620;2021-11-08;1;2746;3314;63
621;2021-11-09;3;2749;3529;52
622;2021-11-10;4;2753;3479;68
623;2021-11-11;4;2757;3412;65
624;2021-11-12;6;2763;2946;77
625;2021-11-13;9;2772;2876;63
626;2021-11-14;6;2778;3046;67
627;2021-11-15;9;2787;4463;86
628;2021-11-16;4;2791;4080;82
629;2021-11-17;3;2794;3896;77
630;2021-11-18;8;2802;4129;77
631;2021-11-19;8;2810;4061;78
632;2021-11-20;4;2814;3680;84
633;2021-11-21;4;2818;3643;72
634;2021-11-22;7;2825;4447;90
635;2021-11-23;11;2836;4652;82
636;2021-11-24;10;2846;3960;73
637;2021-11-25;12;2858;4033;87
638;2021-11-26;12;2870;4096;87
639;2021-11-27;9;2879;3796;72
640;2021-11-28;15;2894;3835;77
641;2021-11-29;9;2903;5016;83
642;2021-11-30;13;2916;5347;97
643;2021-12-01;5;2921;4463;84
644;2021-12-02;13;2934;4507;87
645;2021-12-03;12;2946;5103;98
646;2021-12-04;9;2955;5039;90
647;2021-12-05;7;2962;4752;80
648;2021-12-06;9;2971;6995;112
649;2021-12-07;7;2978;7190;93
650;2021-12-08;16;2994;6560;100
651;2021-12-09;8;3002;6523;85
652;2021-12-10;9;3011;6803;117
653;2021-12-11;11;3022;6578;77
654;2021-12-12;7;3029;6984;95
655;2021-12-13;10;3039;10295;117
656;2021-12-14;7;3046;11063;99
657;2021-12-15;11;3057;10774;135
658;2021-12-16;10;3067;10171;112
659;2021-12-17;14;3081;10614;124
660;2021-12-18;12;3093;10048;105
661;2021-12-19;13;3106;10231;95
662;2021-12-20;12;3118;13288;123
663;2021-12-21;11;3129;13012;128
664;2021-12-22;14;3143;11591;141
665;2021-12-23;18;3161;12604;137
666;2021-12-24;10;3171;7054;89
667;2021-12-25;11;3182;7852;118
668;2021-12-26;10;3192;10965;107
669;2021-12-27;8;3200;22615;178
670;2021-12-28;11;3211;21955;171
671;2021-12-29;9;3220;17247;179
672;2021-12-30;9;3229;19227;165
673;2021-12-31;11;3240;9728;121
674;2022-01-01;12;3252;8631;169
675;2022-01-02;10;3262;19907;171
676;2022-01-03;15;3277;25616;220
677;2022-01-04;15;3292;23701;177
678;2022-01-05;16;3308;17579;154
679;2022-01-06;16;3324;15417;168
680;2022-01-07;17;3341;14438;137
681;2022-01-08;14;3355;13572;122
682;2022-01-09;16;3371;16332;155
683;2022-01-10;17;3388;23248;184
684;2022-01-11;18;3406;22656;198
685;2022-01-12;17;3423;22582;189
686;2022-01-13;15;3438;23779;200
687;2022-01-14;13;3451;25886;179
688;2022-01-15;9;3460;25187;165
689;2022-01-16;17;3477;28181;199
690;2022-01-17;11;3488;41494;249
691;2022-01-18;8;3496;40304;238
692;2022-01-19;25;3521;37600;213
693;2022-01-20;22;3543;37428;224
694;2022-01-21;20;3563;37408;219
695;2022-01-22;10;3573;34714;212
696;2022-01-23;15;3588;38018;236
697;2022-01-24;15;3603;53716;288
698;2022-01-25;21;3624;48689;292
699;2022-01-26;19;3643;41724;279
700;2022-01-27;16;3659;39088;290
701;2022-01-28;18;3677;35946;250
702;2022-01-29;16;3693;28186;218
703;2022-01-30;11;3704;12808;195
