"Kommune";"Kommunenavn";"Bekræftede tilfælde";"Incidens";"Bekræftede tilfælde de seneste 7 dage";"Incidens de seneste 7 dage";"Antal testede personer";"Testestede pr. 100.000";"Testede de seneste 7 dage";"Testede pr. 100.000 de seneste 7 dage";"Antal borgere"
411;;0;;0;0,0;87;95604;9;9890;
101;København;247223;38552;26867;4190;651514;102E3;103153;16086;641264
147;Frederiksberg;37264;36112;4233;4102;110889;107E3;15935;15442;103191
151;Ballerup;17963;36523;2472;5026;49753;101E3;9705;19732;49183
153;Brøndby;14550;40827;1669;4683;35904;101E3;6368;17869;35638
155;Dragør;5051;34577;609;4169;14448;98905;2738;18743;14608
157;Gentofte;26239;35493;3611;4884;75381;102E3;12887;17432;73928
159;Gladsaxe;25492;36866;3244;4691;71461;103E3;12420;17961;69148
161;Glostrup;8998;38423;1055;4505;24220;103E3;4352;18584;23418
163;Herlev;11587;40258;1337;4645;29577;103E3;5349;18585;28782
165;Albertslund;10921;39667;1100;3995;28146;102E3;4780;17362;27532
167;Hvidovre;21895;41221;2642;4974;54664;103E3;10418;19614;53116
169;Høje Tåstrup;20036;37857;2607;4926;53501;101E3;10655;20132;52925
173;Lyngby-Taarbæk;18784;32612;2940;5104;58474;102E3;9854;17108;57598
175;Rødovre;16360;39588;1887;4566;42119;102E3;7485;18112;41326
183;Ishøj;9987;43135;1117;4824;23790;103E3;4599;19864;23153
185;Tårnby;16015;37612;2017;4737;42880;101E3;8585;20163;42579
187;Vallensbæk;6659;40505;943;5736;17242;105E3;3406;20718;16440
190;Furesø;13600;32954;2527;6123;41180;99782;8649;20957;41270
201;Allerød;7894;30579;1575;6101;25794;99919;5673;21976;25815
210;Fredensborg;13342;32464;2003;4874;40834;99358;7330;17835;41098
217;Helsingør;20121;32077;3040;4846;60961;97185;11161;17793;62727
219;Hillerød;17250;32452;3025;5691;53281;1E5;12277;23096;53156
223;Hørsholm;8112;32849;1238;5013;24867;101E3;4128;16716;24695
230;Rudersdal;18592;32544;2913;5099;57568;101E3;10059;17608;57128
240;Egedal;15121;34114;2350;5302;44472;1E5;9091;20510;44325
250;Frederikssund;13439;29402;2559;5599;44381;97099;9130;19975;45707
253;Greve;18211;35913;2813;5547;50153;98904;10930;21554;50709
259;Køge;18783;30557;3013;4902;59718;97153;12151;19768;61468
260;Halsnæs;8492;27141;1492;4768;29908;95586;5705;18233;31289
265;Roskilde;27647;30950;4584;5132;88174;98709;18074;20234;89327
269;Solrød;8475;35636;1391;5849;23945;101E3;5175;21760;23782
270;Gribskov;10945;26664;1688;4112;39771;96889;7341;17884;41048
306;Odsherred;6062;18507;1032;3151;29818;91031;4841;14779;32756
316;Holbæk;18759;25775;3315;4555;68422;94013;12773;17550;72779
320;Faxe;9648;26003;1770;4770;35183;94823;6990;18839;37104
326;Kalundborg;10811;22401;1907;3951;43621;90386;7347;15223;48261
329;Ringsted;10064;28710;1547;4413;33604;95864;6076;17333;35054
330;Slagelse;21364;26876;3826;4813;74564;93803;14784;18599;79490
336;Stevns;6274;26753;1290;5501;22225;94768;4664;19887;23452
340;Sorø;6571;21916;1293;4313;28277;94313;5166;17230;29982
350;Lejre;7899;27659;1399;4899;27974;97955;5623;19690;28558
360;Lolland;9430;23589;1742;4358;37796;94547;9783;24472;39976
370;Næstved;21749;26014;4218;5045;79080;94589;17319;20716;83604
376;Guldborgsund;15625;25966;3446;5727;56401;93730;14308;23778;60174
390;Vordingborg;10959;24206;2247;4963;42108;93007;8457;18680;45274
400;Bornholm;7825;19814;1879;4758;37763;95619;10012;25351;39493
410;Middelfart;8257;20865;2005;5067;37349;94380;7818;19756;39573
420;Assens;8285;20261;2060;5038;37921;92737;7391;18075;40891
430;Faaborg-Midtfyn;10885;21035;2664;5148;48338;93414;10239;19787;51746
440;Kerteminde;5242;21839;1207;5029;23092;96205;5038;20989;24003
450;Nyborg;7407;23078;1682;5241;30773;95878;7192;22408;32096
461;Odense;59309;28848;11503;5595;201925;98216;45055;21915;205593
479;Svendborg;13573;22987;3034;5138;56092;94996;13194;22345;59047
480;Nordfyn;6751;22738;1788;6022;27744;93442;6048;20370;29691
482;Langeland;1899;15469;425;3462;10918;88938;2071;16870;12276
492;Ærø;714;11853;147;2440;5340;88645;944;15671;6024
510;Haderslev;12450;22534;3126;5658;51283;92820;11561;20925;55250
530;Billund;6031;22646;1552;5828;25713;96549;5802;21786;26632
540;Sønderborg;15459;20989;3452;4687;69018;93707;16952;23016;73653
550;Tønder;7635;20752;1429;3884;34330;93311;6818;18532;36791
561;Esbjerg;30455;26402;6615;5735;110632;95911;22520;19523;115349
563;Fanø;592;17265;115;3354;3335;97259;566;16506;3429
573;Varde;11690;23570;2825;5696;46367;93489;8964;18074;49596
575;Vejen;10025;23553;2237;5256;40060;94119;7332;17226;42563
580;Aabenraa;12249;20903;2635;4497;55084;94002;13164;22465;58599
607;Fredericia;11988;23294;2466;4792;49126;95457;9831;19103;51464
615;Horsens;22897;24257;4664;4941;88619;93884;17957;19024;94392
621;Kolding;21750;23271;4525;4842;90202;96512;17047;18239;93462
630;Vejle;30006;25234;6087;5119;113331;95307;27102;22792;118912
657;Herning;22058;24767;4982;5594;84452;94825;17901;20100;89061
661;Holstebro;15747;26937;3134;5361;57795;98866;13046;22317;58458
665;Lemvig;4035;20796;714;3680;18222;93913;3214;16564;19403
671;Struer;4319;20800;968;4662;20025;96441;4102;19755;20764
706;Syddjurs;7988;18349;2021;4642;40250;92459;7132;16383;43533
707;Norddjurs;6361;17231;1362;3689;32860;89010;5376;14562;36917
710;Favrskov;11905;24354;2869;5869;46632;95395;9756;19958;48883
727;Odder;4853;20854;943;4052;22010;94581;4019;17270;23271
730;Randers;23011;23300;4755;4815;90693;91832;16661;16870;98760
740;Silkeborg;23518;24187;5218;5366;91150;93742;18038;18551;97235
741;Samsø;352;9488;55;1482;3011;81159;285;7682;3710
746;Skanderborg;17344;26969;4170;6484;61918;96281;13465;20938;64310
751;Århus;103313;29176;17744;5011;346714;97915;59180;16713;354098
756;Ikast-Brande;9108;21793;1975;4726;39311;94059;7847;18775;41794
760;Ringkøbing-Skjern;11195;19943;2470;4400;53503;95311;9683;17249;56135
766;Hedensted;10032;21323;2069;4398;44619;94839;8472;18008;47047
773;Morsø;4279;21362;803;4009;18791;93810;3339;16669;20031
779;Skive;9573;21262;1770;3931;41925;93117;7512;16684;45024
787;Thisted;8491;19723;1749;4063;42118;97831;7330;17026;43052
791;Viborg;22188;22954;3958;4095;90649;93780;16275;16837;96661
810;Brønderslev;8141;22495;1782;4924;35755;98798;6856;18944;36190
813;Frederikshavn;12677;21555;2649;4504;58066;98733;10321;17549;58811
820;Vesthimmerland;8435;23238;1578;4347;35300;97251;6380;17577;36298
825;Læsø;122;6897;32;1809;1700;96099;324;18315;1769
840;Rebild;7222;23560;1687;5503;28903;94288;5882;19188;30654
846;Mariagerfjord;9871;23727;2218;5331;38676;92967;8052;19355;41602
849;Jammerbugt;8170;21421;1835;4811;37576;98521;7370;19324;38140
851;Aalborg;54625;24746;10605;4804;211594;95854;39440;17867;220747
860;Hjørring;15078;23641;3537;5546;62981;98749;11678;18310;63779
