"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
;.;37;2022-01-31
;00-02;48;2022-01-31
019;00-02;28;2022-01-31
101;00-02;4990;2022-01-31
147;00-02;791;2022-01-31
151;00-02;418;2022-01-31
153;00-02;336;2022-01-31
155;00-02;88;2022-01-31
157;00-02;399;2022-01-31
159;00-02;537;2022-01-31
161;00-02;254;2022-01-31
163;00-02;240;2022-01-31
165;00-02;247;2022-01-31
167;00-02;515;2022-01-31
169;00-02;445;2022-01-31
173;00-02;285;2022-01-31
175;00-02;385;2022-01-31
183;00-02;240;2022-01-31
185;00-02;346;2022-01-31
187;00-02;183;2022-01-31
190;00-02;255;2022-01-31
201;00-02;121;2022-01-31
210;00-02;270;2022-01-31
217;00-02;323;2022-01-31
219;00-02;295;2022-01-31
223;00-02;126;2022-01-31
230;00-02;279;2022-01-31
240;00-02;341;2022-01-31
250;00-02;196;2022-01-31
253;00-02;346;2022-01-31
259;00-02;334;2022-01-31
260;00-02;170;2022-01-31
265;00-02;452;2022-01-31
269;00-02;205;2022-01-31
270;00-02;162;2022-01-31
306;00-02;76;2022-01-31
316;00-02;328;2022-01-31
320;00-02;146;2022-01-31
326;00-02;149;2022-01-31
329;00-02;202;2022-01-31
330;00-02;472;2022-01-31
336;00-02;72;2022-01-31
340;00-02;76;2022-01-31
350;00-02;137;2022-01-31
360;00-02;112;2022-01-31
370;00-02;289;2022-01-31
376;00-02;283;2022-01-31
390;00-02;157;2022-01-31
400;00-02;66;2022-01-31
410;00-02;131;2022-01-31
420;00-02;135;2022-01-31
430;00-02;192;2022-01-31
440;00-02;102;2022-01-31
450;00-02;146;2022-01-31
461;00-02;1420;2022-01-31
479;00-02;202;2022-01-31
480;00-02;135;2022-01-31
482;00-02;28;2022-01-31
492;00-02;6;2022-01-31
510;00-02;231;2022-01-31
530;00-02;125;2022-01-31
540;00-02;299;2022-01-31
550;00-02;140;2022-01-31
561;00-02;765;2022-01-31
563;00-02;3;2022-01-31
573;00-02;255;2022-01-31
575;00-02;204;2022-01-31
580;00-02;240;2022-01-31
607;00-02;223;2022-01-31
615;00-02;423;2022-01-31
621;00-02;468;2022-01-31
630;00-02;607;2022-01-31
657;00-02;393;2022-01-31
661;00-02;297;2022-01-31
665;00-02;56;2022-01-31
671;00-02;56;2022-01-31
706;00-02;127;2022-01-31
707;00-02;94;2022-01-31
710;00-02;232;2022-01-31
727;00-02;57;2022-01-31
730;00-02;388;2022-01-31
740;00-02;504;2022-01-31
746;00-02;332;2022-01-31
751;00-02;1896;2022-01-31
756;00-02;137;2022-01-31
760;00-02;160;2022-01-31
766;00-02;164;2022-01-31
773;00-02;53;2022-01-31
779;00-02;133;2022-01-31
787;00-02;125;2022-01-31
791;00-02;371;2022-01-31
810;00-02;177;2022-01-31
813;00-02;172;2022-01-31
820;00-02;120;2022-01-31
825;00-02;1;2022-01-31
840;00-02;163;2022-01-31
846;00-02;136;2022-01-31
849;00-02;139;2022-01-31
851;00-02;1051;2022-01-31
860;00-02;328;2022-01-31
;03-05;58;2022-01-31
019;03-05;49;2022-01-31
101;03-05;8900;2022-01-31
147;03-05;1290;2022-01-31
151;03-05;815;2022-01-31
153;03-05;626;2022-01-31
155;03-05;295;2022-01-31
157;03-05;1076;2022-01-31
159;03-05;1163;2022-01-31
161;03-05;440;2022-01-31
163;03-05;562;2022-01-31
165;03-05;434;2022-01-31
167;03-05;1084;2022-01-31
169;03-05;857;2022-01-31
173;03-05;792;2022-01-31
175;03-05;829;2022-01-31
183;03-05;447;2022-01-31
185;03-05;729;2022-01-31
187;03-05;296;2022-01-31
190;03-05;689;2022-01-31
201;03-05;411;2022-01-31
210;03-05;569;2022-01-31
217;03-05;752;2022-01-31
219;03-05;750;2022-01-31
223;03-05;340;2022-01-31
230;03-05;838;2022-01-31
240;03-05;712;2022-01-31
250;03-05;535;2022-01-31
253;03-05;873;2022-01-31
259;03-05;778;2022-01-31
260;03-05;339;2022-01-31
265;03-05;1014;2022-01-31
269;03-05;437;2022-01-31
270;03-05;337;2022-01-31
306;03-05;143;2022-01-31
316;03-05;730;2022-01-31
320;03-05;356;2022-01-31
326;03-05;411;2022-01-31
329;03-05;479;2022-01-31
330;03-05;808;2022-01-31
336;03-05;205;2022-01-31
340;03-05;224;2022-01-31
350;03-05;284;2022-01-31
360;03-05;309;2022-01-31
370;03-05;753;2022-01-31
376;03-05;582;2022-01-31
390;03-05;343;2022-01-31
400;03-05;325;2022-01-31
410;03-05;299;2022-01-31
420;03-05;314;2022-01-31
430;03-05;454;2022-01-31
440;03-05;218;2022-01-31
450;03-05;310;2022-01-31
461;03-05;2525;2022-01-31
479;03-05;522;2022-01-31
480;03-05;270;2022-01-31
482;03-05;66;2022-01-31
492;03-05;16;2022-01-31
510;03-05;476;2022-01-31
530;03-05;234;2022-01-31
540;03-05;671;2022-01-31
550;03-05;260;2022-01-31
561;03-05;1440;2022-01-31
563;03-05;23;2022-01-31
573;03-05;522;2022-01-31
575;03-05;410;2022-01-31
580;03-05;533;2022-01-31
607;03-05;628;2022-01-31
615;03-05;967;2022-01-31
621;03-05;977;2022-01-31
630;03-05;1411;2022-01-31
657;03-05;1136;2022-01-31
661;03-05;703;2022-01-31
665;03-05;139;2022-01-31
671;03-05;168;2022-01-31
706;03-05;306;2022-01-31
707;03-05;252;2022-01-31
710;03-05;492;2022-01-31
727;03-05;171;2022-01-31
730;03-05;914;2022-01-31
740;03-05;1128;2022-01-31
741;03-05;6;2022-01-31
746;03-05;900;2022-01-31
751;03-05;3897;2022-01-31
756;03-05;342;2022-01-31
760;03-05;439;2022-01-31
766;03-05;396;2022-01-31
773;03-05;181;2022-01-31
779;03-05;361;2022-01-31
787;03-05;296;2022-01-31
791;03-05;862;2022-01-31
810;03-05;417;2022-01-31
813;03-05;476;2022-01-31
820;03-05;358;2022-01-31
825;03-05;3;2022-01-31
840;03-05;380;2022-01-31
846;03-05;346;2022-01-31
849;03-05;319;2022-01-31
851;03-05;1930;2022-01-31
860;03-05;718;2022-01-31
;06-11;218;2022-01-31
019;06-11;141;2022-01-31
101;06-11;22184;2022-01-31
147;06-11;3396;2022-01-31
151;06-11;2199;2022-01-31
153;06-11;1698;2022-01-31
155;06-11;733;2022-01-31
157;06-11;3553;2022-01-31
159;06-11;3286;2022-01-31
161;06-11;976;2022-01-31
163;06-11;1627;2022-01-31
165;06-11;1340;2022-01-31
167;06-11;2899;2022-01-31
169;06-11;2475;2022-01-31
173;06-11;2507;2022-01-31
175;06-11;2078;2022-01-31
183;06-11;1171;2022-01-31
185;06-11;1989;2022-01-31
187;06-11;872;2022-01-31
190;06-11;1944;2022-01-31
201;06-11;1087;2022-01-31
210;06-11;1708;2022-01-31
217;06-11;2270;2022-01-31
219;06-11;2004;2022-01-31
223;06-11;1084;2022-01-31
230;06-11;2601;2022-01-31
240;06-11;1956;2022-01-31
250;06-11;1517;2022-01-31
253;06-11;2355;2022-01-31
259;06-11;2123;2022-01-31
260;06-11;957;2022-01-31
265;06-11;3366;2022-01-31
269;06-11;1091;2022-01-31
270;06-11;1233;2022-01-31
306;06-11;561;2022-01-31
316;06-11;2222;2022-01-31
320;06-11;1092;2022-01-31
326;06-11;1409;2022-01-31
329;06-11;1125;2022-01-31
330;06-11;2482;2022-01-31
336;06-11;742;2022-01-31
340;06-11;692;2022-01-31
350;06-11;996;2022-01-31
360;06-11;1175;2022-01-31
370;06-11;2465;2022-01-31
376;06-11;1727;2022-01-31
390;06-11;1259;2022-01-31
400;06-11;974;2022-01-31
410;06-11;1015;2022-01-31
420;06-11;1165;2022-01-31
430;06-11;1396;2022-01-31
440;06-11;657;2022-01-31
450;06-11;831;2022-01-31
461;06-11;7081;2022-01-31
479;06-11;1660;2022-01-31
480;06-11;845;2022-01-31
482;06-11;220;2022-01-31
492;06-11;70;2022-01-31
510;06-11;1594;2022-01-31
530;06-11;775;2022-01-31
540;06-11;2173;2022-01-31
550;06-11;1100;2022-01-31
561;06-11;3988;2022-01-31
563;06-11;66;2022-01-31
573;06-11;1646;2022-01-31
575;06-11;1312;2022-01-31
580;06-11;1537;2022-01-31
607;06-11;1486;2022-01-31
615;06-11;3093;2022-01-31
621;06-11;2908;2022-01-31
630;06-11;4014;2022-01-31
657;06-11;2852;2022-01-31
661;06-11;1981;2022-01-31
665;06-11;450;2022-01-31
671;06-11;503;2022-01-31
706;06-11;1052;2022-01-31
707;06-11;736;2022-01-31
710;06-11;1734;2022-01-31
727;06-11;648;2022-01-31
730;06-11;2790;2022-01-31
740;06-11;3071;2022-01-31
741;06-11;22;2022-01-31
746;06-11;2509;2022-01-31
751;06-11;11522;2022-01-31
756;06-11;1215;2022-01-31
760;06-11;1434;2022-01-31
766;06-11;1237;2022-01-31
773;06-11;496;2022-01-31
779;06-11;1100;2022-01-31
787;06-11;1018;2022-01-31
791;06-11;2932;2022-01-31
810;06-11;1000;2022-01-31
813;06-11;1454;2022-01-31
820;06-11;1096;2022-01-31
825;06-11;10;2022-01-31
840;06-11;1042;2022-01-31
846;06-11;1229;2022-01-31
849;06-11;1033;2022-01-31
851;06-11;6139;2022-01-31
860;06-11;1873;2022-01-31
;12-15;119;2022-01-31
011;12-15;1;2022-01-31
019;12-15;70;2022-01-31
101;12-15;12797;2022-01-31
147;12-15;2110;2022-01-31
151;12-15;1341;2022-01-31
153;12-15;1094;2022-01-31
155;12-15;334;2022-01-31
157;12-15;2549;2022-01-31
159;12-15;2140;2022-01-31
161;12-15;612;2022-01-31
163;12-15;908;2022-01-31
165;12-15;831;2022-01-31
167;12-15;1648;2022-01-31
169;12-15;1595;2022-01-31
173;12-15;1552;2022-01-31
175;12-15;1221;2022-01-31
183;12-15;769;2022-01-31
185;12-15;1222;2022-01-31
187;12-15;583;2022-01-31
190;12-15;1229;2022-01-31
201;12-15;700;2022-01-31
210;12-15;1164;2022-01-31
217;12-15;1678;2022-01-31
219;12-15;1389;2022-01-31
223;12-15;771;2022-01-31
230;12-15;1796;2022-01-31
240;12-15;1277;2022-01-31
250;12-15;1196;2022-01-31
253;12-15;1534;2022-01-31
259;12-15;1464;2022-01-31
260;12-15;697;2022-01-31
265;12-15;2326;2022-01-31
269;12-15;756;2022-01-31
270;12-15;940;2022-01-31
306;12-15;513;2022-01-31
316;12-15;1501;2022-01-31
320;12-15;847;2022-01-31
326;12-15;916;2022-01-31
329;12-15;765;2022-01-31
330;12-15;1773;2022-01-31
336;12-15;530;2022-01-31
340;12-15;565;2022-01-31
350;12-15;730;2022-01-31
360;12-15;703;2022-01-31
370;12-15;1901;2022-01-31
376;12-15;1316;2022-01-31
390;12-15;967;2022-01-31
400;12-15;687;2022-01-31
410;12-15;862;2022-01-31
420;12-15;856;2022-01-31
430;12-15;1029;2022-01-31
440;12-15;465;2022-01-31
450;12-15;631;2022-01-31
461;12-15;4534;2022-01-31
479;12-15;1193;2022-01-31
480;12-15;660;2022-01-31
482;12-15;176;2022-01-31
492;12-15;59;2022-01-31
510;12-15;1121;2022-01-31
530;12-15;629;2022-01-31
540;12-15;1305;2022-01-31
550;12-15;714;2022-01-31
561;12-15;2565;2022-01-31
563;12-15;59;2022-01-31
573;12-15;1106;2022-01-31
575;12-15;1108;2022-01-31
580;12-15;1085;2022-01-31
607;12-15;1039;2022-01-31
615;12-15;1800;2022-01-31
621;12-15;1917;2022-01-31
630;12-15;2888;2022-01-31
657;12-15;1747;2022-01-31
661;12-15;1462;2022-01-31
665;12-15;320;2022-01-31
671;12-15;448;2022-01-31
706;12-15;766;2022-01-31
707;12-15;525;2022-01-31
710;12-15;1313;2022-01-31
727;12-15;517;2022-01-31
730;12-15;2065;2022-01-31
740;12-15;2146;2022-01-31
741;12-15;21;2022-01-31
746;12-15;1782;2022-01-31
751;12-15;7490;2022-01-31
756;12-15;788;2022-01-31
760;12-15;1071;2022-01-31
766;12-15;863;2022-01-31
773;12-15;345;2022-01-31
779;12-15;904;2022-01-31
787;12-15;819;2022-01-31
791;12-15;2086;2022-01-31
810;12-15;713;2022-01-31
813;12-15;1113;2022-01-31
820;12-15;653;2022-01-31
825;12-15;6;2022-01-31
840;12-15;581;2022-01-31
846;12-15;1001;2022-01-31
849;12-15;739;2022-01-31
851;12-15;3849;2022-01-31
860;12-15;1338;2022-01-31
;16-19;221;2022-01-31
011;16-19;13;2022-01-31
019;16-19;38;2022-01-31
101;16-19;12142;2022-01-31
147;16-19;2005;2022-01-31
151;16-19;1355;2022-01-31
153;16-19;962;2022-01-31
155;16-19;401;2022-01-31
157;16-19;2418;2022-01-31
159;16-19;1791;2022-01-31
161;16-19;562;2022-01-31
163;16-19;807;2022-01-31
165;16-19;836;2022-01-31
167;16-19;1454;2022-01-31
169;16-19;1397;2022-01-31
173;16-19;1648;2022-01-31
175;16-19;1080;2022-01-31
183;16-19;699;2022-01-31
185;16-19;1179;2022-01-31
187;16-19;445;2022-01-31
190;16-19;1188;2022-01-31
201;16-19;767;2022-01-31
210;16-19;1170;2022-01-31
217;16-19;1772;2022-01-31
219;16-19;1649;2022-01-31
223;16-19;771;2022-01-31
230;16-19;1798;2022-01-31
240;16-19;1326;2022-01-31
250;16-19;1223;2022-01-31
253;16-19;1458;2022-01-31
259;16-19;1674;2022-01-31
260;16-19;681;2022-01-31
265;16-19;2532;2022-01-31
269;16-19;720;2022-01-31
270;16-19;962;2022-01-31
306;16-19;524;2022-01-31
316;16-19;1546;2022-01-31
320;16-19;817;2022-01-31
326;16-19;869;2022-01-31
329;16-19;781;2022-01-31
330;16-19;1684;2022-01-31
336;16-19;528;2022-01-31
340;16-19;683;2022-01-31
350;16-19;760;2022-01-31
360;16-19;649;2022-01-31
370;16-19;1955;2022-01-31
376;16-19;1193;2022-01-31
390;16-19;964;2022-01-31
400;16-19;610;2022-01-31
410;16-19;868;2022-01-31
420;16-19;740;2022-01-31
430;16-19;977;2022-01-31
440;16-19;492;2022-01-31
450;16-19;690;2022-01-31
461;16-19;4308;2022-01-31
479;16-19;1247;2022-01-31
480;16-19;605;2022-01-31
482;16-19;157;2022-01-31
492;16-19;80;2022-01-31
510;16-19;1146;2022-01-31
530;16-19;563;2022-01-31
540;16-19;1585;2022-01-31
550;16-19;738;2022-01-31
561;16-19;2400;2022-01-31
563;16-19;73;2022-01-31
573;16-19;960;2022-01-31
575;16-19;857;2022-01-31
580;16-19;1237;2022-01-31
607;16-19;998;2022-01-31
615;16-19;1989;2022-01-31
621;16-19;2022;2022-01-31
630;16-19;2768;2022-01-31
657;16-19;2053;2022-01-31
661;16-19;1484;2022-01-31
665;16-19;376;2022-01-31
671;16-19;417;2022-01-31
706;16-19;785;2022-01-31
707;16-19;635;2022-01-31
710;16-19;1305;2022-01-31
727;16-19;487;2022-01-31
730;16-19;2218;2022-01-31
740;16-19;2398;2022-01-31
741;16-19;32;2022-01-31
746;16-19;1713;2022-01-31
751;16-19;7183;2022-01-31
756;16-19;908;2022-01-31
760;16-19;1182;2022-01-31
766;16-19;1038;2022-01-31
773;16-19;380;2022-01-31
779;16-19;1055;2022-01-31
787;16-19;835;2022-01-31
791;16-19;2386;2022-01-31
810;16-19;756;2022-01-31
813;16-19;1119;2022-01-31
820;16-19;743;2022-01-31
825;16-19;26;2022-01-31
840;16-19;704;2022-01-31
846;16-19;1019;2022-01-31
849;16-19;804;2022-01-31
851;16-19;4287;2022-01-31
860;16-19;1348;2022-01-31
;20-39;3662;2022-01-31
011;20-39;1041;2022-01-31
012;20-39;26;2022-01-31
019;20-39;201;2022-01-31
101;20-39;115650;2022-01-31
147;20-39;15033;2022-01-31
151;20-39;5141;2022-01-31
153;20-39;4573;2022-01-31
155;20-39;933;2022-01-31
157;20-39;5268;2022-01-31
159;20-39;7395;2022-01-31
161;20-39;2974;2022-01-31
163;20-39;3240;2022-01-31
165;20-39;3266;2022-01-31
167;20-39;6464;2022-01-31
169;20-39;6370;2022-01-31
173;20-39;4848;2022-01-31
175;20-39;4927;2022-01-31
183;20-39;3295;2022-01-31
185;20-39;4075;2022-01-31
187;20-39;1936;2022-01-31
190;20-39;2928;2022-01-31
201;20-39;1633;2022-01-31
210;20-39;3051;2022-01-31
217;20-39;4782;2022-01-31
219;20-39;4635;2022-01-31
223;20-39;1458;2022-01-31
230;20-39;3590;2022-01-31
240;20-39;3615;2022-01-31
250;20-39;3113;2022-01-31
253;20-39;4594;2022-01-31
259;20-39;5219;2022-01-31
260;20-39;2050;2022-01-31
265;20-39;7436;2022-01-31
269;20-39;2142;2022-01-31
270;20-39;2298;2022-01-31
306;20-39;1508;2022-01-31
316;20-39;5205;2022-01-31
320;20-39;2557;2022-01-31
326;20-39;2646;2022-01-31
329;20-39;2940;2022-01-31
330;20-39;6505;2022-01-31
336;20-39;1490;2022-01-31
340;20-39;1608;2022-01-31
350;20-39;1786;2022-01-31
360;20-39;2320;2022-01-31
370;20-39;6008;2022-01-31
376;20-39;4184;2022-01-31
390;20-39;2695;2022-01-31
400;20-39;1822;2022-01-31
410;20-39;1856;2022-01-31
420;20-39;2011;2022-01-31
430;20-39;2631;2022-01-31
440;20-39;1289;2022-01-31
450;20-39;1778;2022-01-31
461;20-39;22135;2022-01-31
479;20-39;3537;2022-01-31
480;20-39;1571;2022-01-31
482;20-39;413;2022-01-31
492;20-39;142;2022-01-31
510;20-39;3230;2022-01-31
530;20-39;1594;2022-01-31
540;20-39;3912;2022-01-31
550;20-39;1863;2022-01-31
561;20-39;9095;2022-01-31
563;20-39;96;2022-01-31
573;20-39;2975;2022-01-31
575;20-39;2557;2022-01-31
580;20-39;3042;2022-01-31
607;20-39;3287;2022-01-31
615;20-39;7089;2022-01-31
621;20-39;6064;2022-01-31
630;20-39;8557;2022-01-31
657;20-39;6303;2022-01-31
661;20-39;4446;2022-01-31
665;20-39;976;2022-01-31
671;20-39;979;2022-01-31
706;20-39;1853;2022-01-31
707;20-39;1759;2022-01-31
710;20-39;2734;2022-01-31
727;20-39;1077;2022-01-31
730;20-39;6548;2022-01-31
740;20-39;6401;2022-01-31
741;20-39;69;2022-01-31
746;20-39;3993;2022-01-31
751;20-39;44373;2022-01-31
756;20-39;2368;2022-01-31
760;20-39;2774;2022-01-31
766;20-39;2503;2022-01-31
773;20-39;1100;2022-01-31
779;20-39;2374;2022-01-31
787;20-39;2131;2022-01-31
791;20-39;5567;2022-01-31
810;20-39;2069;2022-01-31
813;20-39;3150;2022-01-31
820;20-39;2066;2022-01-31
825;20-39;19;2022-01-31
840;20-39;1877;2022-01-31
846;20-39;2369;2022-01-31
849;20-39;1955;2022-01-31
851;20-39;21511;2022-01-31
860;20-39;3734;2022-01-31
956;20-39;2;2022-01-31
961;20-39;1;2022-01-31
;40-64;2574;2022-01-31
010;40-64;1;2022-01-31
011;40-64;987;2022-01-31
012;40-64;23;2022-01-31
019;40-64;229;2022-01-31
101;40-64;60704;2022-01-31
147;40-64;10207;2022-01-31
151;40-64;5484;2022-01-31
153;40-64;4206;2022-01-31
155;40-64;1795;2022-01-31
157;40-64;9024;2022-01-31
159;40-64;7641;2022-01-31
161;40-64;2570;2022-01-31
163;40-64;3430;2022-01-31
165;40-64;3266;2022-01-31
167;40-64;6528;2022-01-31
169;40-64;5738;2022-01-31
173;40-64;5830;2022-01-31
175;40-64;4954;2022-01-31
183;40-64;2832;2022-01-31
185;40-64;5292;2022-01-31
187;40-64;1901;2022-01-31
190;40-64;4471;2022-01-31
201;40-64;2594;2022-01-31
210;40-64;4327;2022-01-31
217;40-64;6764;2022-01-31
219;40-64;5459;2022-01-31
223;40-64;2775;2022-01-31
230;40-64;6296;2022-01-31
240;40-64;4935;2022-01-31
250;40-64;4538;2022-01-31
253;40-64;5884;2022-01-31
259;40-64;6037;2022-01-31
260;40-64;2898;2022-01-31
265;40-64;8806;2022-01-31
269;40-64;2622;2022-01-31
270;40-64;3880;2022-01-31
306;40-64;2076;2022-01-31
316;40-64;5946;2022-01-31
320;40-64;3185;2022-01-31
326;40-64;3471;2022-01-31
329;40-64;3178;2022-01-31
330;40-64;6148;2022-01-31
336;40-64;2142;2022-01-31
340;40-64;2224;2022-01-31
350;40-64;2718;2022-01-31
360;40-64;3089;2022-01-31
370;40-64;6829;2022-01-31
376;40-64;4870;2022-01-31
390;40-64;3561;2022-01-31
400;40-64;2540;2022-01-31
410;40-64;2645;2022-01-31
420;40-64;2559;2022-01-31
430;40-64;3362;2022-01-31
440;40-64;1638;2022-01-31
450;40-64;2340;2022-01-31
461;40-64;14555;2022-01-31
479;40-64;4172;2022-01-31
480;40-64;2147;2022-01-31
482;40-64;599;2022-01-31
492;40-64;232;2022-01-31
510;40-64;3715;2022-01-31
530;40-64;1693;2022-01-31
540;40-64;4483;2022-01-31
550;40-64;2243;2022-01-31
561;40-64;8334;2022-01-31
563;40-64;184;2022-01-31
573;40-64;3400;2022-01-31
575;40-64;2967;2022-01-31
580;40-64;3651;2022-01-31
607;40-64;3530;2022-01-31
615;40-64;6398;2022-01-31
621;40-64;6247;2022-01-31
630;40-64;8311;2022-01-31
657;40-64;6271;2022-01-31
661;40-64;4371;2022-01-31
665;40-64;1297;2022-01-31
671;40-64;1319;2022-01-31
706;40-64;2474;2022-01-31
707;40-64;1884;2022-01-31
710;40-64;3574;2022-01-31
727;40-64;1557;2022-01-31
730;40-64;6815;2022-01-31
740;40-64;6670;2022-01-31
741;40-64;140;2022-01-31
746;40-64;5241;2022-01-31
751;40-64;22793;2022-01-31
756;40-64;2750;2022-01-31
760;40-64;3278;2022-01-31
766;40-64;3166;2022-01-31
773;40-64;1317;2022-01-31
779;40-64;2939;2022-01-31
787;40-64;2533;2022-01-31
791;40-64;6638;2022-01-31
810;40-64;2406;2022-01-31
813;40-64;4126;2022-01-31
820;40-64;2516;2022-01-31
825;40-64;41;2022-01-31
840;40-64;2053;2022-01-31
846;40-64;3011;2022-01-31
849;40-64;2502;2022-01-31
851;40-64;13209;2022-01-31
860;40-64;4535;2022-01-31
;65-79;235;2022-01-31
011;65-79;22;2022-01-31
012;65-79;1;2022-01-31
019;65-79;3;2022-01-31
101;65-79;7799;2022-01-31
147;65-79;1719;2022-01-31
151;65-79;868;2022-01-31
153;65-79;816;2022-01-31
155;65-79;358;2022-01-31
157;65-79;1482;2022-01-31
159;65-79;1133;2022-01-31
161;65-79;438;2022-01-31
163;65-79;554;2022-01-31
165;65-79;580;2022-01-31
167;65-79;980;2022-01-31
169;65-79;908;2022-01-31
173;65-79;959;2022-01-31
175;65-79;688;2022-01-31
183;65-79;441;2022-01-31
185;65-79;883;2022-01-31
187;65-79;346;2022-01-31
190;65-79;666;2022-01-31
201;65-79;431;2022-01-31
210;65-79;862;2022-01-31
217;65-79;1377;2022-01-31
219;65-79;859;2022-01-31
223;65-79;580;2022-01-31
230;65-79;1037;2022-01-31
240;65-79;764;2022-01-31
250;65-79;886;2022-01-31
253;65-79;965;2022-01-31
259;65-79;959;2022-01-31
260;65-79;572;2022-01-31
265;65-79;1366;2022-01-31
269;65-79;415;2022-01-31
270;65-79;874;2022-01-31
306;65-79;557;2022-01-31
316;65-79;1061;2022-01-31
320;65-79;550;2022-01-31
326;65-79;746;2022-01-31
329;65-79;452;2022-01-31
330;65-79;1144;2022-01-31
336;65-79;448;2022-01-31
340;65-79;405;2022-01-31
350;65-79;403;2022-01-31
360;65-79;833;2022-01-31
370;65-79;1251;2022-01-31
376;65-79;1136;2022-01-31
390;65-79;851;2022-01-31
400;65-79;668;2022-01-31
410;65-79;463;2022-01-31
420;65-79;418;2022-01-31
430;65-79;708;2022-01-31
440;65-79;305;2022-01-31
450;65-79;547;2022-01-31
461;65-79;2241;2022-01-31
479;65-79;851;2022-01-31
480;65-79;408;2022-01-31
482;65-79;210;2022-01-31
492;65-79;96;2022-01-31
510;65-79;739;2022-01-31
530;65-79;324;2022-01-31
540;65-79;807;2022-01-31
550;65-79;484;2022-01-31
561;65-79;1515;2022-01-31
563;65-79;81;2022-01-31
573;65-79;673;2022-01-31
575;65-79;480;2022-01-31
580;65-79;731;2022-01-31
607;65-79;632;2022-01-31
615;65-79;937;2022-01-31
621;65-79;938;2022-01-31
630;65-79;1197;2022-01-31
657;65-79;1045;2022-01-31
661;65-79;808;2022-01-31
665;65-79;350;2022-01-31
671;65-79;356;2022-01-31
706;65-79;513;2022-01-31
707;65-79;396;2022-01-31
710;65-79;426;2022-01-31
727;65-79;280;2022-01-31
730;65-79;1031;2022-01-31
740;65-79;1032;2022-01-31
741;65-79;49;2022-01-31
746;65-79;712;2022-01-31
751;65-79;3350;2022-01-31
756;65-79;465;2022-01-31
760;65-79;694;2022-01-31
766;65-79;539;2022-01-31
773;65-79;328;2022-01-31
779;65-79;585;2022-01-31
787;65-79;576;2022-01-31
791;65-79;1096;2022-01-31
810;65-79;512;2022-01-31
813;65-79;890;2022-01-31
820;65-79;679;2022-01-31
825;65-79;13;2022-01-31
840;65-79;341;2022-01-31
846;65-79;583;2022-01-31
849;65-79;552;2022-01-31
851;65-79;2126;2022-01-31
860;65-79;949;2022-01-31
;80+;69;2022-01-31
011;80+;2;2022-01-31
101;80+;2057;2022-01-31
147;80+;713;2022-01-31
151;80+;342;2022-01-31
153;80+;239;2022-01-31
155;80+;114;2022-01-31
157;80+;470;2022-01-31
159;80+;406;2022-01-31
161;80+;172;2022-01-31
163;80+;219;2022-01-31
165;80+;121;2022-01-31
167;80+;323;2022-01-31
169;80+;251;2022-01-31
173;80+;363;2022-01-31
175;80+;198;2022-01-31
183;80+;93;2022-01-31
185;80+;300;2022-01-31
187;80+;97;2022-01-31
190;80+;230;2022-01-31
201;80+;150;2022-01-31
210;80+;221;2022-01-31
217;80+;403;2022-01-31
219;80+;210;2022-01-31
223;80+;207;2022-01-31
230;80+;357;2022-01-31
240;80+;195;2022-01-31
250;80+;235;2022-01-31
253;80+;202;2022-01-31
259;80+;195;2022-01-31
260;80+;128;2022-01-31
265;80+;349;2022-01-31
269;80+;87;2022-01-31
270;80+;259;2022-01-31
306;80+;104;2022-01-31
316;80+;220;2022-01-31
320;80+;98;2022-01-31
326;80+;194;2022-01-31
329;80+;142;2022-01-31
330;80+;348;2022-01-31
336;80+;117;2022-01-31
340;80+;94;2022-01-31
350;80+;85;2022-01-31
360;80+;240;2022-01-31
370;80+;298;2022-01-31
376;80+;334;2022-01-31
390;80+;162;2022-01-31
400;80+;133;2022-01-31
410;80+;118;2022-01-31
420;80+;87;2022-01-31
430;80+;136;2022-01-31
440;80+;76;2022-01-31
450;80+;134;2022-01-31
461;80+;510;2022-01-31
479;80+;189;2022-01-31
480;80+;110;2022-01-31
482;80+;30;2022-01-31
492;80+;13;2022-01-31
510;80+;198;2022-01-31
530;80+;94;2022-01-31
540;80+;224;2022-01-31
550;80+;93;2022-01-31
561;80+;353;2022-01-31
563;80+;7;2022-01-31
573;80+;153;2022-01-31
575;80+;130;2022-01-31
580;80+;193;2022-01-31
607;80+;165;2022-01-31
615;80+;201;2022-01-31
621;80+;209;2022-01-31
630;80+;253;2022-01-31
657;80+;258;2022-01-31
661;80+;195;2022-01-31
665;80+;71;2022-01-31
671;80+;73;2022-01-31
706;80+;112;2022-01-31
707;80+;80;2022-01-31
710;80+;95;2022-01-31
727;80+;59;2022-01-31
730;80+;242;2022-01-31
740;80+;168;2022-01-31
741;80+;13;2022-01-31
746;80+;162;2022-01-31
751;80+;809;2022-01-31
756;80+;135;2022-01-31
760;80+;163;2022-01-31
766;80+;126;2022-01-31
773;80+;79;2022-01-31
779;80+;122;2022-01-31
787;80+;158;2022-01-31
791;80+;250;2022-01-31
810;80+;91;2022-01-31
813;80+;177;2022-01-31
820;80+;204;2022-01-31
825;80+;3;2022-01-31
840;80+;81;2022-01-31
846;80+;177;2022-01-31
849;80+;127;2022-01-31
851;80+;523;2022-01-31
860;80+;255;2022-01-31
