"Uge";"Region";"Antal reinfektioner";"Reinfektioner pr. 100.000 borgere"
2020-W21;Hovedstaden;2;0,11
2020-W21;Midtjylland;1;0,07
2020-W21;Syddanmark;1;0,08
2020-W23;Hovedstaden;1;0,05
2020-W23;Syddanmark;1;0,08
2020-W24;Hovedstaden;4;0,22
2020-W24;Midtjylland;2;0,15
2020-W24;Syddanmark;1;0,08
2020-W25;Hovedstaden;5;0,27
2020-W25;Midtjylland;1;0,08
2020-W25;Sjælland;1;0,12
2020-W25;Syddanmark;1;0,08
2020-W26;Hovedstaden;3;0,16
2020-W26;Sjælland;1;0,12
2020-W27;Hovedstaden;4;0,22
2020-W27;Midtjylland;1;0,08
2020-W27;Sjælland;2;0,24
2020-W28;Hovedstaden;2;0,11
2020-W28;Sjælland;2;0,24
2020-W29;Hovedstaden;4;0,22
2020-W29;Nordjylland;1;0,17
2020-W29;Sjælland;1;0,12
2020-W30;Hovedstaden;3;0,16
2020-W30;Sjælland;1;0,12
2020-W31;Hovedstaden;2;0,11
2020-W32;Hovedstaden;1;0,05
2020-W32;Midtjylland;1;0,08
2020-W33;Hovedstaden;6;0,32
2020-W33;Midtjylland;1;0,08
2020-W33;Syddanmark;1;0,08
2020-W34;Hovedstaden;2;0,11
2020-W35;Hovedstaden;4;0,22
2020-W35;Sjælland;1;0,12
2020-W36;Hovedstaden;2;0,11
2020-W36;Midtjylland;1;0,08
2020-W36;Nordjylland;1;0,17
2020-W36;Syddanmark;1;0,08
2020-W37;Hovedstaden;2;0,11
2020-W38;Hovedstaden;4;0,22
2020-W39;Hovedstaden;5;0,27
2020-W39;Sjælland;2;0,24
2020-W40;Hovedstaden;1;0,05
2020-W40;Sjælland;1;0,12
2020-W41;Hovedstaden;2;0,11
2020-W41;Midtjylland;1;0,07
2020-W41;Sjælland;1;0,12
2020-W42;Hovedstaden;1;0,05
2020-W42;Midtjylland;1;0,07
2020-W43;Hovedstaden;1;0,05
2020-W43;Midtjylland;2;0,15
2020-W43;Nordjylland;1;0,17
2020-W44;Hovedstaden;2;0,11
2020-W44;Midtjylland;3;0,22
2020-W44;Nordjylland;2;0,34
2020-W44;Syddanmark;1;0,08
2020-W45;Hovedstaden;5;0,27
2020-W45;Syddanmark;1;0,08
2020-W46;Hovedstaden;2;0,11
2020-W46;Midtjylland;3;0,22
2020-W47;Hovedstaden;6;0,32
2020-W47;Sjælland;2;0,24
2020-W47;Syddanmark;1;0,08
2020-W48;Hovedstaden;5;0,27
2020-W48;Midtjylland;4;0,30
2020-W48;Sjælland;3;0,36
2020-W49;Hovedstaden;10;0,54
2020-W49;Midtjylland;1;0,07
2020-W50;Hovedstaden;11;0,59
2020-W50;Midtjylland;2;0,15
2020-W50;Sjælland;4;0,48
2020-W50;Syddanmark;2;0,16
2020-W51;Hovedstaden;22;1,18
2020-W51;Midtjylland;3;0,22
2020-W51;Nordjylland;1;0,17
2020-W51;Sjælland;2;0,24
2020-W51;Syddanmark;3;0,24
2020-W52;Hovedstaden;16;0,86
2020-W52;Midtjylland;5;0,37
2020-W52;Sjælland;2;0,24
2020-W52;Syddanmark;4;0,33
2020-W53;Hovedstaden;16;0,86
2020-W53;Midtjylland;6;0,45
2020-W53;Nordjylland;1;0,17
2020-W53;Sjælland;1;0,12
2020-W53;Syddanmark;4;0,33
2021-W01;Hovedstaden;12;0,65
2021-W01;Midtjylland;4;0,30
2021-W01;Nordjylland;4;0,68
2021-W01;Sjælland;2;0,24
2021-W01;Syddanmark;2;0,16
2021-W02;Hovedstaden;16;0,87
2021-W02;Midtjylland;3;0,23
2021-W02;Nordjylland;6;1,02
2021-W02;Sjælland;6;0,72
2021-W02;Syddanmark;3;0,25
2021-W03;Hovedstaden;12;0,65
2021-W03;Midtjylland;2;0,15
2021-W03;Nordjylland;4;0,68
2021-W03;Sjælland;1;0,12
2021-W03;Syddanmark;9;0,74
2021-W04;Hovedstaden;17;0,92
2021-W04;Midtjylland;7;0,53
2021-W04;Nordjylland;2;0,34
2021-W04;Sjælland;3;0,36
2021-W04;Syddanmark;3;0,25
2021-W05;Hovedstaden;22;1,19
2021-W05;Midtjylland;5;0,38
2021-W05;Sjælland;2;0,24
2021-W05;Syddanmark;3;0,25
2021-W06;Hovedstaden;12;0,65
2021-W06;Midtjylland;4;0,30
2021-W06;Nordjylland;3;0,51
2021-W06;Sjælland;2;0,24
2021-W06;Syddanmark;7;0,57
2021-W07;Hovedstaden;22;1,19
2021-W07;Midtjylland;8;0,60
2021-W07;Sjælland;7;0,84
2021-W07;Syddanmark;6;0,49
2021-W08;Hovedstaden;29;1,57
2021-W08;Midtjylland;10;0,75
2021-W08;Nordjylland;3;0,51
2021-W08;Sjælland;2;0,24
2021-W08;Syddanmark;7;0,57
2021-W09;Hovedstaden;34;1,84
2021-W09;Midtjylland;5;0,38
2021-W09;Nordjylland;3;0,51
2021-W09;Sjælland;5;0,60
2021-W09;Syddanmark;10;0,82
2021-W10;Hovedstaden;21;1,14
2021-W10;Midtjylland;7;0,53
2021-W10;Nordjylland;1;0,17
2021-W10;Sjælland;9;1,08
2021-W10;Syddanmark;7;0,57
2021-W11;Hovedstaden;34;1,84
2021-W11;Midtjylland;11;0,83
2021-W11;Nordjylland;3;0,51
2021-W11;Sjælland;15;1,79
2021-W11;Syddanmark;6;0,49
2021-W12;Hovedstaden;34;1,84
2021-W12;Midtjylland;8;0,60
2021-W12;Nordjylland;5;0,85
2021-W12;Sjælland;13;1,55
2021-W12;Syddanmark;6;0,49
2021-W13;Hovedstaden;25;1,35
2021-W13;Midtjylland;6;0,45
2021-W13;Nordjylland;2;0,34
2021-W13;Sjælland;3;0,36
2021-W13;Syddanmark;7;0,57
2021-W14;Hovedstaden;27;1,46
2021-W14;Midtjylland;7;0,53
2021-W14;Nordjylland;4;0,68
2021-W14;Sjælland;8;0,96
2021-W14;Syddanmark;4;0,33
2021-W15;Hovedstaden;29;1,57
2021-W15;Midtjylland;9;0,68
2021-W15;Sjælland;4;0,48
2021-W15;Syddanmark;6;0,49
2021-W16;Hovedstaden;24;1,30
2021-W16;Midtjylland;3;0,23
2021-W16;Nordjylland;5;0,85
2021-W16;Sjælland;6;0,72
2021-W16;Syddanmark;6;0,49
2021-W17;Hovedstaden;23;1,24
2021-W17;Midtjylland;3;0,23
2021-W17;Nordjylland;2;0,34
2021-W17;Sjælland;5;0,60
2021-W17;Syddanmark;5;0,41
2021-W18;Hovedstaden;29;1,57
2021-W18;Midtjylland;4;0,30
2021-W18;Nordjylland;1;0,17
2021-W18;Sjælland;6;0,72
2021-W18;Syddanmark;5;0,41
2021-W19;Hovedstaden;29;1,57
2021-W19;Midtjylland;9;0,68
2021-W19;Nordjylland;3;0,51
2021-W19;Sjælland;2;0,24
2021-W19;Syddanmark;2;0,16
2021-W20;Hovedstaden;32;1,73
2021-W20;Midtjylland;6;0,45
2021-W20;Nordjylland;9;1,53
2021-W20;Sjælland;6;0,72
2021-W20;Syddanmark;7;0,57
2021-W21;Hovedstaden;22;1,19
2021-W21;Midtjylland;9;0,68
2021-W21;Nordjylland;6;1,02
2021-W21;Sjælland;5;0,60
2021-W21;Syddanmark;6;0,49
2021-W22;Hovedstaden;23;1,24
2021-W22;Midtjylland;8;0,60
2021-W22;Nordjylland;5;0,85
2021-W22;Sjælland;2;0,24
2021-W22;Syddanmark;4;0,33
2021-W23;Hovedstaden;21;1,14
2021-W23;Midtjylland;6;0,45
2021-W23;Nordjylland;4;0,68
2021-W23;Sjælland;4;0,48
2021-W23;Syddanmark;4;0,33
2021-W24;Hovedstaden;16;0,86
2021-W24;Midtjylland;1;0,08
2021-W24;Nordjylland;1;0,17
2021-W24;Sjælland;3;0,36
2021-W24;Syddanmark;2;0,16
2021-W25;Hovedstaden;9;0,49
2021-W25;Midtjylland;2;0,15
2021-W25;Sjælland;1;0,12
2021-W25;Syddanmark;1;0,08
2021-W26;Hovedstaden;24;1,30
2021-W26;Midtjylland;2;0,15
2021-W26;Nordjylland;1;0,17
2021-W26;Sjælland;4;0,48
2021-W26;Syddanmark;1;0,08
2021-W27;Hovedstaden;46;2,49
2021-W27;Midtjylland;11;0,83
2021-W27;Sjælland;5;0,60
2021-W27;Syddanmark;3;0,25
2021-W28;Hovedstaden;55;2,97
2021-W28;Midtjylland;15;1,13
2021-W28;Sjælland;9;1,07
2021-W28;Syddanmark;10;0,82
2021-W29;Hovedstaden;34;1,84
2021-W29;Midtjylland;12;0,90
2021-W29;Nordjylland;1;0,17
2021-W29;Sjælland;5;0,60
2021-W29;Syddanmark;5;0,41
2021-W30;Hovedstaden;65;3,51
2021-W30;Midtjylland;19;1,43
2021-W30;Nordjylland;3;0,51
2021-W30;Sjælland;6;0,71
2021-W30;Syddanmark;6;0,49
2021-W31;Hovedstaden;51;2,75
2021-W31;Midtjylland;21;1,58
2021-W31;Nordjylland;11;1,87
2021-W31;Sjælland;4;0,48
2021-W31;Syddanmark;11;0,90
2021-W32;Hovedstaden;61;3,29
2021-W32;Midtjylland;26;1,95
2021-W32;Nordjylland;8;1,36
2021-W32;Sjælland;10;1,19
2021-W32;Syddanmark;14;1,14
2021-W33;Hovedstaden;77;4,16
2021-W33;Midtjylland;16;1,20
2021-W33;Nordjylland;3;0,51
2021-W33;Sjælland;5;0,60
2021-W33;Syddanmark;13;1,06
2021-W34;Hovedstaden;67;3,62
2021-W34;Midtjylland;14;1,05
2021-W34;Nordjylland;4;0,68
2021-W34;Sjælland;4;0,48
2021-W34;Syddanmark;11;0,90
2021-W35;Hovedstaden;46;2,48
2021-W35;Midtjylland;15;1,13
2021-W35;Sjælland;7;0,83
2021-W35;Syddanmark;9;0,74
2021-W36;Hovedstaden;38;2,05
2021-W36;Midtjylland;4;0,30
2021-W36;Sjælland;4;0,48
2021-W36;Syddanmark;4;0,33
2021-W37;Hovedstaden;17;0,92
2021-W37;Midtjylland;3;0,22
2021-W37;Nordjylland;1;0,17
2021-W37;Sjælland;4;0,48
2021-W37;Syddanmark;3;0,25
2021-W38;Hovedstaden;11;0,59
2021-W38;Midtjylland;5;0,37
2021-W38;Nordjylland;2;0,34
2021-W38;Sjælland;1;0,12
2021-W38;Syddanmark;3;0,25
2021-W39;Hovedstaden;20;1,08
2021-W39;Midtjylland;5;0,37
2021-W39;Nordjylland;1;0,17
2021-W39;Sjælland;5;0,59
2021-W39;Syddanmark;4;0,33
2021-W40;Hovedstaden;31;1,67
2021-W40;Midtjylland;8;0,60
2021-W40;Nordjylland;1;0,17
2021-W40;Sjælland;4;0,48
2021-W40;Syddanmark;6;0,49
2021-W41;Hovedstaden;37;1,99
2021-W41;Midtjylland;4;0,30
2021-W41;Nordjylland;1;0,17
2021-W41;Sjælland;4;0,48
2021-W41;Syddanmark;9;0,73
2021-W42;Hovedstaden;83;4,47
2021-W42;Midtjylland;5;0,37
2021-W42;Nordjylland;7;1,18
2021-W42;Sjælland;11;1,31
2021-W42;Syddanmark;8;0,65
2021-W43;Hovedstaden;102;5,50
2021-W43;Midtjylland;18;1,35
2021-W43;Nordjylland;4;0,68
2021-W43;Sjælland;18;2,14
2021-W43;Syddanmark;8;0,65
2021-W44;Hovedstaden;122;6,57
2021-W44;Midtjylland;17;1,27
2021-W44;Nordjylland;5;0,85
2021-W44;Sjælland;17;2,02
2021-W44;Syddanmark;15;1,22
2021-W45;Hovedstaden;152;8,18
2021-W45;Midtjylland;25;1,87
2021-W45;Nordjylland;5;0,85
2021-W45;Sjælland;42;4,99
2021-W45;Syddanmark;20;1,63
2021-W46;Hovedstaden;203;10,93
2021-W46;Midtjylland;27;2,02
2021-W46;Nordjylland;9;1,52
2021-W46;Sjælland;32;3,81
2021-W46;Syddanmark;21;1,71
2021-W47;Hovedstaden;208;11,20
2021-W47;Midtjylland;33;2,47
2021-W47;Nordjylland;16;2,71
2021-W47;Sjælland;34;4,04
2021-W47;Syddanmark;30;2,45
2021-W48;Hovedstaden;247;13,29
2021-W48;Midtjylland;44;3,29
2021-W48;Nordjylland;12;2,03
2021-W48;Sjælland;41;4,88
2021-W48;Syddanmark;35;2,86
2021-W49;Hovedstaden;583;31,33
2021-W49;Midtjylland;85;6,35
2021-W49;Nordjylland;31;5,24
2021-W49;Sjælland;73;8,68
2021-W49;Syddanmark;49;4,00
2021-W50;Hovedstaden;1907;102,47
2021-W50;Midtjylland;247;18,45
2021-W50;Nordjylland;86;14,54
2021-W50;Sjælland;234;27,81
2021-W50;Syddanmark;144;11,74
2021-W51;Hovedstaden;2440;131,12
2021-W51;Midtjylland;381;28,46
2021-W51;Nordjylland;144;24,35
2021-W51;Sjælland;347;41,24
2021-W51;Syddanmark;249;20,31
2021-W52;Hovedstaden;4327;232,52
2021-W52;Midtjylland;938;70,07
2021-W52;Nordjylland;418;70,69
2021-W52;Sjælland;725;86,17
2021-W52;Syddanmark;661;53,91
2022-W01;Hovedstaden;5646;303,21
2022-W01;Midtjylland;1654;123,48
2022-W01;Nordjylland;652;110,29
2022-W01;Sjælland;1002;119,04
2022-W01;Syddanmark;1063;86,65
2022-W02;Hovedstaden;6726;361,22
2022-W02;Midtjylland;1784;133,19
2022-W02;Nordjylland;665;112,48
2022-W02;Sjælland;1202;142,80
2022-W02;Syddanmark;1467;119,59
2022-W03;Hovedstaden;9906;532,00
2022-W03;Midtjylland;2659;198,51
2022-W03;Nordjylland;1007;170,33
2022-W03;Sjælland;2258;268,26
2022-W03;Syddanmark;2294;187,00
2022-W04;Hovedstaden;7765;417,01
2022-W04;Midtjylland;2688;200,68
2022-W04;Nordjylland;1089;184,20
2022-W04;Sjælland;2415;286,91
2022-W04;Syddanmark;2457;200,29
